reviewId,review,gender,location,date,score,ColumnaAPredecir:score
3,I gave this one too much.,male,"Shanghai, China",2022-05-23,negative,positive
4,"worst!!!!! I can't even play songs of my choice without a premium what kind of app is this, how in the world people are paying for it.",male,"Valencia, Spain",2021-08-02,negative,negative
5,Why are there songs that I can't play when I'm watching ads. And there are sooo many ads,male,"Seville, Spain",2021-04-22,negative,negative
6,"Amazing overall experience. I love the recommendations, I'm finding new favorite songs all the time!",male,"Vienna, Austria",2021-10-16,negative,positive
10,so many adds,male,"Casablanca, Morocco",2022-12-30,negative,negative
11,i cant chose a song now from my playlist what a stupid.,male,"Guayaquil, Ecuador",2024-05-15,negative,negative
15,why can't I remove songs from my queue any more?! I need this feature back.,male,"Denver, United States",2024-04-17,negative,neutral
19,add centre...,male,"Vienna, Austria",2021-11-07,negative,neutral
21,Why would I pay money for an app that censors art and music? Plus at over $120 a year I can easily buy all the msuic I listen to cheaper.,female,"Brisbane, Australia",2025-11-01,negative,positive
23,Hate this app and it's greedy owners,male,"Guayaquil, Ecuador",2024-05-29,negative,negative
28,Can't play song too much,male,"Lyon, France",2021-09-15,negative,negative
37,ismein Kai bar hatane ke bekar aise,male,"Salvador, Brazil",2025-02-21,negative,negative
38,"worst please, yt music is much better than this",male,"Lisbon, Portugal",2020-12-03,negative,negative
41,"just 3 songs per day, wow... i thought of not giving that one star also...",male,"Brasília, Brazil",2024-09-11,negative,neutral
44,i hacked my app idk it was unusable normally,male,"Oslo, Norway",2021-05-12,negative,negative
45,it became worst now,male,"Windhoek, Namibia",2023-02-22,negative,negative
49,👍👍👍👍,male,"Dublin, Ireland",2021-07-02,negative,positive
52,fed up of adds ......they say 30 min uninterrupted music but after each song they give adds,male,"Kathmandu, Nepal",2021-12-03,negative,negative
53,this app is turned a worst app now. we can't forword or select a song by our own decision .,male,"Mumbai, India",2022-03-15,negative,negative
70,so more advertisment chep aap,female,"Port Moresby, Papua New Guinea",2025-07-01,negative,positive
78,The free version keeps getting worse and worse. No wonder people have to pirate Spotify for it to even be usable,male,"Brasília, Brazil",2024-09-16,negative,negative
79,Everything requires premium,male,"Bogotá, Colombia",2024-07-31,negative,negative
91,bad app,female,"Auckland, New Zealand",2025-09-26,negative,negative
107,"Personally, some songs or albums are missing.",female,"Port Moresby, Papua New Guinea",2025-08-19,negative,negative
110,"In my experience, it’s hard to discover truly new music sometimes. It makes it harder to discover music.",male,"Amsterdam, Netherlands",2021-09-20,negative,negative
113,What bothers me is that switching devices can occasionally be inconsistent. It makes it harder to discover music.,male,"Santa Cruz, Bolivia",2024-06-06,negative,negative
130,The main problem is that it’s hard to discover truly new music sometimes. It makes it harder to discover music.,male,"Calgary, Canada",2023-11-09,negative,negative
132,The main problem is that personalized playlists sometimes repeat the same songs. It gets frustrating after a while.,male,"Houston, United States",2023-09-24,negative,negative
133,The main problem is that switching devices can occasionally be inconsistent. It makes the app harder to enjoy.,male,"Birmingham, United Kingdom",2020-12-04,negative,negative
149,The main problem is that the recommendations are not always accurate. That part could definitely be improved.,male,"Rome, Italy",2020-11-22,negative,negative
152,"In my experience, personalized playlists sometimes repeat the same songs. That part could definitely be improved.",male,"San Diego, United States",2023-10-07,negative,negative
153,"Honestly, switching devices can occasionally be inconsistent. It makes the app feel less reliable.",male,"Lyon, France",2021-11-17,negative,negative
155,One issue is that ads in the free version are disruptive. It disrupts the experience.,male,"Arequipa, Peru",2024-09-03,negative,negative
161,"I wanted to like it, but the app can feel cluttered. It ends up feeling repetitive.",male,"Lagos, Nigeria",2023-05-20,negative,negative
170,"For me, it’s hard to discover truly new music sometimes. It makes the app feel less reliable.",male,"Bali, Indonesia",2022-06-21,negative,negative
173,What bothers me is that switching devices can occasionally be inconsistent. It makes it harder to discover music.,male,"Cairo, Egypt",2022-10-17,negative,negative
174,"Personally, the app behaves differently across platforms. It ends up feeling repetitive.",male,"Calgary, Canada",2023-09-05,negative,negative
199,The main problem is that the recommendations are not always accurate. It ends up feeling repetitive.,female,"Adelaide, Australia",2025-09-25,negative,negative
205,"Personally, ads in the free version are disruptive.",male,"Rabat, Morocco",2023-05-05,negative,negative
235,One issue is that ads in the free version are disruptive. It makes the app feel less reliable.,male,"Calgary, Canada",2023-12-05,negative,negative
242,What bothers me is that personalized playlists sometimes repeat the same songs. It disrupts the experience.,male,"Washington DC, United States",2023-10-25,negative,negative
247,One issue is that some songs or albums are missing.,male,"Abuja, Nigeria",2023-01-01,negative,negative
250,"In my experience, it’s hard to discover truly new music sometimes. It makes it harder to discover music.",male,"Stockholm, Sweden",2020-10-30,negative,negative
259,I’d say the recommendations are not always accurate. It makes the app feel less reliable.,male,"Tijuana, Mexico",2023-11-11,negative,negative
274,"Personally, the app behaves differently across platforms. That part could definitely be improved.",female,"Christchurch, New Zealand",2025-11-11,negative,negative
285,"Personally, ads in the free version are disruptive. That part could definitely be improved.",male,"Canberra, Australia",2025-04-01,negative,negative
286,"In my experience, social features feel limited. It makes the app harder to enjoy.",male,"Quebec City, Canada",2023-07-23,negative,negative
289,What bothers me is that the recommendations are not always accurate.,male,"Medellín, Colombia",2024-08-14,negative,negative
291,One issue is that the app can feel cluttered. It makes it harder to discover music.,male,"Rosario, Argentina",2024-10-24,negative,negative
296,I’d say social features feel limited. It makes the app feel less reliable.,male,"Algiers, Algeria",2022-10-13,negative,negative
297,"I wanted to like it, but some songs or albums are missing. It ends up feeling repetitive.",male,"Geneva, Switzerland",2021-03-29,negative,negative
