review;score;Topico_Dominante;Porcentaje_Similitud
It might be good;4;2;73.25%
I hope that, apple notes also available for Android.;4;4;51.5%
You just got me all on my video tube;4;4;73.2300033569336%
Update;4;4;59.81999969482422%
Exceptional;4;0;59.91999816894531%
Better than spotify because u can download songs individually not in batches. Not a 5 star yet because their recommendation game isn't as strong yet;4;2;68.72000122070312%
So far so good;4;2;72.95999908447266%
Definitely the best music streaming service. But the Android app is very glitchy. Especially when it comes to lyrics. Other than that, this is the best music streaming service and I definitely recommend.;4;3;53.65999984741211%
Could you please develop something that means that I don't have to hold a song and drag it up past over a thousand songs in a playlist for instance, a move to top button. It would be really be helpful, or select multiple then move to top..... reordering is a drawn out process when it doesn't need to be 👌🏼;4;2;70.88999938964844%
"Love the lossless audio experience, But the ""special audio/ Dolby Atmos"" many times it ruins the song instead of improving... It's start creaking & gives choppy audio. Honestly it's uncomfortable to even hear. In short improve Dolby Atmos ,Everything else is Super Great 👍";4;3;52.290000915527344%
Great even on android;4;4;48.58000183105469%
On. .......6. ...;4;0;20.0%
Rich;4;4;59.7599983215332%
music quality is good, but the UI is not the best;4;1;69.04000091552734%
Gudiya. Kumari ka;4;0;20.0%
I honestly have no complaints with this service or app, and I've been using it for a few years now.. the only app I'll compare it to is YouTube music. I don't see anything else that can be held on such a high level for a music lover.;4;3;77.62000274658203%
great when it works, but absolutely horrible otherwise;4;1;86.45999908447266%
What a good app Used to acquire great inspiring songs.;4;1;52.66999816894531%
I can listen to my favorite songs and without ad's but sometimes it randomly starts playing but I love this app it includes relax for your calm days it has kid music so you're kids don't complain and so much more I use this app every day ty apple music for helping me though something with sad songs ps if you are iffy on install please just listen to your heart;4;2;41.790000915527344%
superb👌🏻;4;0;60.0%
it's one of the biggest music apps so far, it's a nice app, you will love it;4;1;62.45000076293945%
It a nice app and it fast;4;4;44.2400016784668%
Good.music.app;4;1;53.58000183105469%
Love you guys great music;4;1;55.95000076293945%
To downlod music;4;3;59.59000015258789%
I like it;4;3;59.4900016784668%
nice app, has got all the musics I want 🤙;4;4;66.68000030517578%
The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, Music buffers endlessly, search results get stuck loading, none of the navigation panels load up. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. If you download music and then delete the downloads to free up space, you can't ever play the song again unless you remove and reinstall the app.;4;4;62.91999816894531%
Apple music please upgrade to 'bit perfect' audio streaming..we are Audiopile community waiting.;4;4;49.97999954223633%
Good music app with new features;4;2;56.220001220703125%
The music I love and grew up listening to. Amazing...;4;3;83.8499984741211%
I need a Podcast here 😊;4;3;72.9800033569336%
somehow i can't seem to be able to access my 'replay' for the month of April.;4;4;69.23999786376953%
It is good, high quality. But I need to renew my subscription even though I never had to at all.;4;1;41.66999816894531%
