review;score;Topico_Dominante;Porcentaje_Similitud
Good luck with;3;1;65.08999633789062%
Great that I can get apple music on an android device, however album art is not displaying when BT connection is utilized in my car. However an iPhone does display album art via BT in my car. A bit disappointing.;3;2;71.0999984741211%
please fix issues with google cast/cast in general, it is very buggy;3;1;64.5%
Music takes forever to load, even with 5g full service;3;1;89.80999755859375%
good but;3;1;65.0999984741211%
I love that I can upload my personal CD collection and read lyrics inside the app. But the Android Auto and Google Assistant integrations are terrible. I try to ask Assistant to play something and it says Apple Music isn't available. On Android Auto, songs also sometimes end early if crossfade is on, but will mute completely if off. Please test those two integrations more thoroughly since I'm sure a lot of your users listen while driving.;3;2;77.91000366210938%
Not able to select payment option;3;0;82.68000030517578%
"Now the app started to add tracks that I marked as ""suggest less"" in my library.";3;1;60.2400016784668%
This is my first foray into apple music. Why the hell isn't there a banner on the notification shade to control music quickly? It's not even showing up in the lockscreen. I need to open the app to skip to the next track. What the hell? Is this like an apple music thing or it's a bug?;3;2;51.43000030517578%
It just keeps on crashing it worked a few days back but it just closes whenever I want to use it now but overall it's a. Great app probably cause I'm using it on Android;3;0;47.25%
Its great minus the near constant interference when I'm currently making a playlist whether its music suggestion or taking me elsewhere when I'm taking from an already made playlist for another.;3;1;94.41000366210938%
Good;3;1;65.0999984741211%
Please fix the This Music not available issue, it really makes me complicated, because i have to Uninstall and reinstall the app.;3;1;54.29999923706055%
Nice app;3;0;69.7300033569336%
It often gets random problems but overall is decent;3;0;77.16999816894531%
Just one example. When I try to remove the apartment number from billing address, it does nothing. I moved over 2 years ago, and it still hasn't been fixed. No idea how it got past QA in the first place. Textbook mistake. And it's small things like this here and there that make the impression and form the experience. So much for the APPLE brand.;3;2;66.38999938964844%
Why do you have to pay to listen to songs. Pls make that stop!;3;1;88.38999938964844%
I only downloaded it to listen Stray Kids' radio. Overall it's practical. But I'll still be using Spotify for now, because I think it works better and I saw more quality if that's the word.;3;1;69.87999725341797%
Update the app it's boring Bru add new features please!!?;3;0;52.5%
Enable Bit Perfect on Android... No exclusive USB access even on android 14.;3;0;75.08000183105469%
I want to listen to my purchases from iTunes unless I signed up for the product.;3;2;88.37000274658203%
I could live with very poor screen configuration options and with the absence of images on Playlist icons. But the impossibility of disabling the auto-play upon connection of bluetooth devices is extremely annoying. I really hate that.;3;2;51.41999816894531%
I've used this app for about 15 yrs. I was given a nano pod. The library seems limitless. I use it for music only. Two things to know. 1. You have to continue paying if you want to listen to the music that you already paid for. If you don't pay your monthly subscription, no tunes. 2. After it plays an album that you have selected from your library it will play random songs, ones that are not in your library. Doesn't make sense to me.;3;2;63.720001220703125%
I like the app à lot but I wish all the albums of the Artist was up on the app;3;1;89.79000091552734%
I will never be able to eat chicken with this app;3;2;79.66999816894531%
error playlist cover, always blank white then shows my pict, then white again, broken. blink;3;0;90.77999877929688%
I'm just trying out it would be cool if I could connect with PS5 so I could pick the music from the phone app too like on Spotify . So that's one thing is missing for me at the moment. I would say better quality than Spotify but bad playlist especially for you . I just started using the app and I'm having issues knowing what to play the my playlist is just bad playing the same songs and sometimes something new . New music Friday is playing old stuff . Not great experience. So far after trying .;3;2;71.44999694824219%
O recently played parou de funcionar há dias, não consigo ouvir conteúdo explícito porque o teclado não funciona na hora de definir uma senha e isso aconteceu depois da última atualização. Resolvam, por favor.;3;1;88.70999908447266%
Its a good app but there are many glitches which needs some attention;3;1;50.97999954223633%
Hard to use, stops playing, just because it has an open passive window on my PC. Freezes often. I got it for free for 5 months, when that expires, I will never use it again.;3;2;94.7300033569336%
Stairway to heaven;3;0;33.33000183105469%
"Performance has dipped. Codes no longer being sent by text. Even when I ask for a call, there's no guarantee I'll get a code. Some tracks ""can't be downloaded"" and won't play on my phone. Considering abandoning the platform TBH. Why pay a monthly fee for such wobbly performance?";3;0;88.36000061035156%
Buggy;3;0;64.0%
Thank You;3;1;59.150001525878906%
"I want to give 5 star, yes I want to...., who dose not want to give 5 star because of its clean,minimal ui, the hi-fi lose less ,high rais audio and i appreciate apple for this features but recently i am facing a problem of buying subscription plan to be specific in ""adding payment method"" shows ""none"". I consulted with their team but they can't solve the problem.They told it's the problem of ""UPI services"". Hope apple fix this very soon.";3;2;53.40999984741211%
I love this app;3;2;75.02999877929688%
App just randomly won't play. Have to restart device everytime to get it to work again.;3;0;91.1500015258789%
current playing music won't update on notification, it keep showing the first song i play but actually been playing other 2 or 3 different song;3;0;94.16999816894531%
Best app Experience and Sound Quality Than Spotty., BUT .. There is always a But 1.Payment Screen Goes On Lopping Mode For Hours(We have to own an Apple phone to do this same thing Hassle free ,But in Android It's a Total Mess ) 2.Apple Support is Useless (They don't know how to Handle Android Users queries Or problems) 3.App is full of Bugs and Errors. Besides this apple music is the Best Music streaming Platform Out there No Doubt.❤️;3;2;97.11000061035156%
The payment interface for Android is absolutely stinky. Lot of glitches. But otherwise mwah;3;2;61.279998779296875%
Not able to make payment;3;0;48.66999816894531%
Its just it takes alot of space and it kicks me out if i search a song if im on my mobile data and not all the songs are on it like Little game by Benny;3;1;76.48999786376953%
The best cross platform music app with the worst payment experience and payment methods. I switched from Spotify due to many songs unavailability and troublesome offline download. Now that is sorted here but the payment experience is by far the worst of the lot. When trying to pay the process just goes on a loop in the mobile app so I try doing it in Desktop app which is also pathetic. The team behind this app for god sake has to work on this at the earliest.;3;2;65.8499984741211%
can u put the sing like in IOS.;3;2;85.76000213623047%
Service has good selection for music but the app needs a UI update bad. Edit: still can't give above 3 stars, UI still slow to navigate and way more buffering when selecting songs;3;2;72.36000061035156%
Love it, wish it was cheaper! Or it would let me use the playlists on other devices.;3;2;67.8499984741211%
Nice one;3;0;76.37999725341797%
Good app for music , but minor glitches in playlists that need to be fixed;3;1;89.44000244140625%
Painfully sluggish search and start to playback. Companion watch app would be nicer.;3;1;87.6500015258789%
Glitchy.. not loading quickly anymore. Slower than ever.;3;1;80.80999755859375%
Why does my music not play even when I've renewed my subscription 😕;3;0;84.61000061035156%
The shuffle option gets disabled after putting a track as a next song. Please fix this. It's annoying.;3;0;91.1500015258789%
Good but...... I have s22 samsung. And it keeps cutting out when I'm listening randomly, it's not my Internet, my buds, I keep clearing cache. I have checked for updates. I have just turned adaptive battery off as suggested by someone. Hopefully that sorts it out. Seems like this a problem for a few people.;3;1;41.029998779296875%
An absolutely excellent music app. I find it's music recommendations 100x better than Spotify. But apple music doesn't have access to any podcast and that's a deal breaker for me.;3;2;87.9000015258789%
App won't play the songs but when it does I can only skip a track when my phone is locked;3;1;48.20000076293945%
Meh! Don't get me wrong I enjoy Apple music very much. The issue is every time I have any type of bluetooth device it automatically turns Apple music on and I do not want that. I want it to be manually opened and I've been unable to figure out how to default to manual only. Yes I am old and a bit dumb.;3;0;47.619998931884766%
