review;score;Topico_Dominante;Porcentaje_Similitud
It might be good;4;1;83.12000274658203%
I hope that, apple notes also available for Android.;4;1;70.58999633789062%
You just got me all on my video tube;4;1;80.83000183105469%
Update;4;1;74.93000030517578%
Exceptional;4;0;74.97000122070312%
Better than spotify because u can download songs individually not in batches. Not a 5 star yet because their recommendation game isn't as strong yet;4;1;72.25%
So far so good;4;1;72.5%
Definitely the best music streaming service. But the Android app is very glitchy. Especially when it comes to lyrics. Other than that, this is the best music streaming service and I definitely recommend.;4;1;84.5199966430664%
Could you please develop something that means that I don't have to hold a song and drag it up past over a thousand songs in a playlist for instance, a move to top button. It would be really be helpful, or select multiple then move to top..... reordering is a drawn out process when it doesn't need to be 👌🏼;4;1;94.9000015258789%
"Love the lossless audio experience, But the ""special audio/ Dolby Atmos"" many times it ruins the song instead of improving... It's start creaking & gives choppy audio. Honestly it's uncomfortable to even hear. In short improve Dolby Atmos ,Everything else is Super Great 👍";4;0;56.54999923706055%
Great even on android;4;1;52.279998779296875%
On. .......6. ...;4;0;50.0%
Rich;4;0;74.70999908447266%
music quality is good, but the UI is not the best;4;1;57.31999969482422%
Gudiya. Kumari ka;4;0;50.0%
I honestly have no complaints with this service or app, and I've been using it for a few years now.. the only app I'll compare it to is YouTube music. I don't see anything else that can be held on such a high level for a music lover.;4;0;58.41999816894531%
great when it works, but absolutely horrible otherwise;4;0;67.87000274658203%
What a good app Used to acquire great inspiring songs.;4;1;71.27999877929688%
I can listen to my favorite songs and without ad's but sometimes it randomly starts playing but I love this app it includes relax for your calm days it has kid music so you're kids don't complain and so much more I use this app every day ty apple music for helping me though something with sad songs ps if you are iffy on install please just listen to your heart;4;1;97.87999725341797%
superb👌🏻;4;0;74.9800033569336%
it's one of the biggest music apps so far, it's a nice app, you will love it;4;1;78.12000274658203%
It a nice app and it fast;4;1;56.43000030517578%
Good.music.app;4;1;86.70999908447266%
Love you guys great music;4;1;67.91999816894531%
To downlod music;4;1;73.4000015258789%
I like it;4;1;74.9000015258789%
nice app, has got all the musics I want 🤙;4;1;67.23999786376953%
The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, Music buffers endlessly, search results get stuck loading, none of the navigation panels load up. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. If you download music and then delete the downloads to free up space, you can't ever play the song again unless you remove and reinstall the app.;4;1;91.75%
Apple music please upgrade to 'bit perfect' audio streaming..we are Audiopile community waiting.;4;1;64.0199966430664%
Good music app with new features;4;1;90.9000015258789%
The music I love and grew up listening to. Amazing...;4;1;66.55999755859375%
I need a Podcast here 😊;4;0;80.70999908447266%
somehow i can't seem to be able to access my 'replay' for the month of April.;4;1;61.65999984741211%
It is good, high quality. But I need to renew my subscription even though I never had to at all.;4;1;61.779998779296875%
as an iphone user trying android, apple music availability was more than wellcome. at least i didnt have to start over curating my playlist. somehow i cannot find audio only feature as its available in ip. not sure if that hardware relate algorythem that prevent it. just felt incomplete. but rest i found no issue. integration on auto and watch also work fine. if only they allow more personal data cross sharing (icloud as service please);4;1;88.05000305175781%
it good and it has good music;4;1;87.25%
Nobody likes commercials, whether they are music related or not. Fewer displays of Apple money makers would be appreciated and enjoyed.;4;1;55.290000915527344%
I think am enjoying this app more thsn any app;4;1;89.2699966430664%
The music quality is excellent. There seems to be a bug though. Somehow the music quality is linked to wifi streaming quality and mobile data streaming quality even for downloaded music for some reason. I listen on pure flat response and I can tell the difference as I toggle between these options while the downloaded music is playing. There is also a slight hitch while switching. I tried with no internet too and still the same. Why are these happening for downloaded music?;4;1;81.0999984741211%
Best app for Audiophiles Best lossless audio you can get in any app in India Downloading is a bit complicated should add seperate download only button on every songs And yes payment methods is very complicated 99/month they deserve that in india Else everything is very smooth and very good optimised on Android too Lossless works flawlessly;4;1;53.970001220703125%
Most reliable ones big up;4;0;51.25%
"Works well. The Playlist creation and radio features are nice. wish the radio had more subgenre options (hardcore, ska) as the punk station seems pretty limited on those genres. Also wish this worked with ""hey google"".";4;1;75.55000305175781%
sometimes didn't let me select a song and didn't play;4;1;91.4000015258789%
it's actually not that bad;4;0;83.1500015258789%
Trio L;4;1;74.77999877929688%
I have discovered something interesting, the app in windows has airplay to cast music to airplay devices, It would be awesome this feature arrive to android phones to use in airplay devices too.;4;1;63.43000030517578%
laggy sometimes;4;0;64.58999633789062%
Good when it works;4;1;81.58000183105469%
Good music quality;4;1;62.220001220703125%
Works as should,I love the Dolby Atmos sound quality on some songs;4;1;52.47999954223633%
At lease warn before subscription ends...;4;0;74.9000015258789%
Great;4;0;74.98999786376953%
it's really buggy;4;0;82.88999938964844%
Excellent;4;0;75.0%
Using Apple Music on a Samsung phone. I'm a traitor... Honestly, I just didn't wanna pay for Spotify Premium anymore lol. Good app, no crashing, just a takes a bit for songs to load when you first open the app.;4;1;74.88999938964844%
It's a 4 because Apple is so expensive and you still have to pay for this, you can get a FREE Spotify account and if you don't want ads then that is where money is introduced.;4;1;57.70000076293945%
It has a bug I think it would be better if you fix that The app uses battery more than telegram even if still isn't logged in by me! Thanks for your supporting;4;1;95.48999786376953%
Please add a stable cast button.;4;1;87.66000366210938%
I love this on iphone cuz it's less buggy but that's the marketing trick right? I mainly wish it had an auto install like on my old iphone;4;1;79.25%
I enjoy listening to my downloads when I'm in a offline area, but I always get a message saying I am offline. I thought when I play my downloaded music, it plays my internal memory without the need for Internet connection. Can anyone help?;4;1;97.16999816894531%
You know what? You actually fixed sub issues, there are a lot of problems but none of them were as bad as sub renewal, now you must fix playlist covers not working correctly, cant make folder in playlist, never saw news about artists i follow and more;4;1;83.98999786376953%
Should be available for Android TV;4;0;71.62999725341797%
I love my apple music but it's not the same on my android device as it is in my iphone.;4;1;82.75%
I switched from Tidal and it was almost perfect up until a few months ago when I started getting weird volume glitches. Switching apps will drop the volume to -50 unless I pause the song and then play it. Besides that issue I can't recommend this app enough, it truly it's the best thing to come from Apple since the iPod.;4;1;98.16000366210938%
Sonice;4;0;50.0%
I love the app but it crashes every time I open it. Please, fix this apple.;4;1;93.5%
apple music is good;4;1;86.75%
not able change track to next one from ear phone(bug);4;1;93.87000274658203%
Good;4;1;74.98999786376953%
Good app;4;1;82.30999755859375%
I love it. I really hate that it appears in my pull down menu at the top. I turn off notifications and it's still there,.plz fix.;4;1;91.87000274658203%
Lossless at this price? Count me in! The audio quality and collection is epic! 1 star subtracted for some UI/UX shenanigans. what do you mean I can't swipe left/right on the player screen to switch between songs? And it's also a pain to subscribe to the plan, you have to load money to your wallet and keep it filled with enough money for the next billing cycle.;4;0;59.0%
The Best Of All💯 Trust, there's this way it's switched smoothly to the next 🥷🔥;4;1;91.36000061035156%
"Have to use an android device cause I killed my iPhone... This android 
version of the app is a shame! Stops all the time after each song, gets 
killed every time I try to change the EQ while listening to music. Meh...";4;1;96.41999816894531%
Interface um pouco confusa, spotify ganha muito. Qualidade de som impecável (Hi-res);4;0;91.47000122070312%
Good;4;1;74.98999786376953%
Right;4;1;73.31999969482422%
Sound quality is better than Spotify when it's playing but there seems to be a wired thing where it sounds like to goes from wide stereo to like mono for a while then comes back to normal again. Then sometimes it gets quiet where volume is like very low and then gets loud again even while playing the same song. Only seems to do this on the Android version not on my iPhone 13 pro.;4;1;74.98999786376953%
Ok yap but.....;4;1;74.91000366210938%
Maaasssa;4;0;50.0%
Frustrating sometimes;4;1;82.11000061035156%
Generally good, but the ui is obviously an iPhone app hastily ported to android.;4;1;73.88999938964844%
WILL GIVE YOU FULL OF 5 STAR IF YOU FIX THE CUSTOM EQ BUG. Device tested on Xiaomi Poco X6, custom EQ after being activated on one song, the next song back to default EQ/ EQ is not active during the next song session.;4;1;97.47000122070312%
Sound quality is better than Spotify's highest quality option on premium, 99% of the same songs with better quality, and it's cheaper too. Only thing that could be better is it's interface, I liked that the search button was in the middle on Spotify, and sometimes I can't get back to my library without restarting the app but I am also only on android;4;1;64.25%
i only have one minor issue. 1: i would like the option to play later like on my iPod so i can queue albums. EDIT: it would appear notification control problems are not isolated to Apple Music. i have thus updated my review;4;1;97.66000366210938%
This app is very good to use;4;1;86.43000030517578%
There are just a few things here and there that are a bit janky on android. Also the queue is a problem. If I play an album, then the play next option puts the items after the current song and not the end of the album.;4;1;91.02999877929688%
Good app;4;1;82.30999755859375%
just recently switched to apple music, it wouldve been a 5 star if only the app doesn't auto play the next song and skip the current one whenever the internet's slow. developers, please fix that. it's annoying whenever it does skip songs i am listening;4;1;97.5199966430664%
Great music app love it.;4;1;65.3499984741211%
Would love to see translated music lyrics like how it exists for some songs in Spotify;4;1;90.97000122070312%
"Good music app. When adding songs to playlists, I wish the search function would show all playlists because it does not show the ones in folders even though the search bar in ""playlists' category does. Also would like it to be more clear which playlists a song is already added to (like Spotify)";4;1;94.05999755859375%
"Great app 👍 But I think improvement is needed in the next play area ⏯️, I feel like Spoti** is better in song suggestion although""creat station"" is good, thank you!";4;1;69.19000244140625%
I like the hi-res Lossless. But when you click on the artist shown below song it wrongly directs to another artist.;4;1;69.33000183105469%
the music stutters at times;4;1;82.80999755859375%
This app is amazing;4;0;67.58999633789062%
"App is great and is probably the only time I've seen Apple treat Android users not like poop. Audio quality is superb comparing it to Spotify and yt music and has a very clean and easily navigateable user interface with that ""apple magic"" that I've come to love on my mac. Though I would like to see some other features like the new karaoke mode in the ios version and a wearos varient of the app on the Android version soon";4;1;76.38999938964844%
songs recommendation is terrible;4;1;52.119998931884766%
Great;4;0;74.98999786376953%
Apple is the last company I want to win the music streaming war. But they deserve to. The android app is solid (and now their Windows app too), the content is extensive, browsing is easy, they have CD-quality audio, and for a good price. I don't know why Apple moved to lossless after killing the headphone jack, but on my LG phone it sounds comparable to Tidal. Hardcore audiophiles will still want to go with Qobuz. Negatives are a) frequent buffering issues and b) autoplay keeps turning back on.;4;1;67.25%
great music app, I use it religiously my only complaint is that for radio stations you create there is no like or dislike mechanic to give you more songs similar to what you like.;4;1;82.44000244140625%
Not use to having trouble on Apple music but I haven't been able to play music in two days. I don't know what's up but gotta fix this!!;4;1;95.2300033569336%
not as good as spotify but my wife has the family account;4;0;64.29000091552734%
great app!;4;0;67.58000183105469%
I like it so far.;4;1;72.2300033569336%
, 3 ZZ er x4x xx;4;0;50.0%
A little bit of bass will do perfect but other wise credits to the app;4;0;52.810001373291016%
Please implement exclusive mode for bitperfect to bypass android 48khz resample;4;1;55.25%
"A little more expensive than spotify, but worth it for me. Better selection and interface for non-english music, much more stable app, more consistent UI, doesn't delete my downloads on me like Spotify did. Connectivity across devices and recommendations algorithm don't hold a candle to spotify though, and lacks any equivalent to the ""social network"" elements of Spotify. Those features are secondary to the experience of just downloading and listening to music for me personally, but still a shame";4;0;58.59000015258789%
Doesn't let me hear censored lyrics;4;1;79.95999908447266%
ui needs some work;4;0;81.11000061035156%
please provide bit perfect audio option like tidal music app for android;4;1;79.81999969482422%
Works great on my S24 Ultra, though the casting features never seem to work. I sometimes try to cast to a Samsung TV with the Apple Music app, and to music share on Apple Music on a friend's Apple Car Play, and I get stuck in loading limbo.;4;1;70.88999938964844%
Love the app well recorded but at the min its saying it's not installed when it is kinda confused;4;1;91.87000274658203%
