review;score;Topico_Dominante;Porcentaje_Similitud
Spatial audio doesn't work with pixel 7 and pixel buds pro;1;6;89.27999877929688%
The app is not loading when searching for music. Please fix issue. It fails to load when searching for music.;1;6;92.83999633789062%
Ever since an update recently, songs will skip and not play. Itcan skip up to 3 songs at a time and then decide to play a song. It's quite annoying. Does anyone know how to fix it?;1;6;74.98999786376953%
On chromebook the app keeps kicking me out and I have to call support to reconnect as there is no place to sign in once kicked out. very frustrating;1;3;47.97999954223633%
I am attempting to cancel my subscription and it sends me to an empty page claiming I have no subscription while still being charged.;1;2;45.86000061035156%
I dont appreciate being told and forced to download an app just to manage my subscriptions... to stop you from taking money out of my bank sccount... then find out that Apple told you the wrong info and you manage subscriptions elsewhere... Youve designed it so people HAVE to download this app, making your total downloads looking far superior to what they actually should be. Disgusting company.;1;2;55.439998626708984%
New update randomly only plays left channel. So annoying;1;0;74.58000183105469%
the music skips, stalls, and straight up stops playing constantly. I'm about to delete the app and everything if it don't get fixed soon;1;6;62.47999954223633%
app is very slow when u try to log in;1;3;40.4900016784668%
Horrible.;1;1;57.13999938964844%
Frustrated that this app wants me to pay for use with the ITunes I already have. No... Not worth it to me.;1;2;61.88999938964844%
The app is really bad why do I have to pay to access my music that I have already paid for!;1;2;59.18000030517578%
The update has made Apple music useless. Can't play any music ever since the latest update;1;0;70.58999633789062%
not working;1;6;57.119998931884766%
Worthless $10.99 app. It makes you pay to download movies and music you already own and if your subyruns out you no longer have access to your OWNED personal content. You end up paying over and over each month to watch your movies while on the go.;1;2;70.36000061035156%
"Forced the ""Favorite"" playlist on my account and won't allow me to delete it, even though it is empty. It's an eyesore and I hate it. My amount of stars will change once this is rectified.";1;4;33.20000076293945%
Boo;1;0;14.289999961853027%
"My music keeps being removed from my phone, individual songs download multiple times over, often in the same album. The only good thing about this app is the fact that there are no ads, and it doesn't crash very often. Still quite frustrating to have new releases and not be able to play them without going into the artist page, then pressing and holding on the song and selecting play, even though you pressed ""download album"" about a thousand times. Please fix your app.";1;0;68.52999877929688%
It says error code 19623 😵;1;3;78.52999877929688%
Not relevant to me not sure why I even have it;1;2;71.33000183105469%
Cringe company, cant make a simple music app which doesnt crash every 5mins;1;6;47.459999084472656%
Sign up never works . Too complicated;1;1;42.849998474121094%
Apple music likha hai par seb nahi khilaya dokha 🍎;1;0;85.66999816894531%
I opened the app and it told me to go to the web to subscribe, but the web version keeps directing me to the app;1;4;62.810001373291016%
this app should be also for android users;1;1;82.81999969482422%
1234@@@@ 1234@@@@ 1234@@@@;1;0;14.289999961853027%
本当にお金が必要!?私はこれが嫌いです！;1;0;14.289999961853027%
The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, music buffers endlessly, search results get stuck loading. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. Music quality dropping randomly from lossless to nothing;1;6;65.37999725341797%
when I stopped subscription- I am unable to play/access the music that was brought;1;2;33.59000015258789%
I use Spotify;1;1;71.31999969482422%
apple music is a rip off no music subscription needs to be that much a month and get no access to the music you have purchased and own no wonder people illegally download 11 a month is a crazy price to pay;1;2;89.76000213623047%
There is no easy way to renew a subscription. Still lookin' my TV is interrupted, and I have read the legal mumbo jumbo, but still can't renew my subscription. I have my credit card standing by. I still can not open apple music! I feel pressed to rate one star!;1;2;90.75%
First thing it wants is payment;1;4;34.56999969482422%
Paying Android subscriber deeply disappointed by the absence of haptic feedback (like iOS 'Music Haptics'). Apple touts commitment to designing products 'for everyone,' yet ignores this basic accessibility feature on Android. The HapticGenerator API & other Android tech natively allow this enhanced experience. This disparity suggests that 'everyone' really means certain customers. Paying Android users deserve feature parity, especially for accessibility. Implement haptics or discount the service;1;3;44.060001373291016%
Since I updated the app, I can't download new songs anymore.;1;6;46.36000061035156%
허구헌날 무한로딩;1;0;14.289999961853027%
Offers are not supported.;1;2;71.38999938964844%
music is not loud enough even if you use speaker at full volume. For some songs it's too low...;1;0;58.63999938964844%
I have failed to identify the Subscribe button on the app and when I went to the web still it made no difference so please help me out;1;3;56.560001373291016%
I've spent probably over a thousand dollars on iTunes music, movies and shows back when that was the thing... And now I have to pay a monthly fee to access those songs I've purchased? Terrible. Absolutely terrible business model.;1;2;48.59000015258789%
Can't stand anything about Apple!!! All they care about is making money and being stupid liberals.;1;2;87.7300033569336%
This is so beyond ridiculous everything they make you do to sign up for their TV streaming app without an apple device is disgusting;1;2;58.099998474121094%
Idk;1;0;57.119998931884766%
Apple music sucks. I couldn't even get started because no matter what password I try to use, it tells me the password is not secure. This is EXACTLY why I hate anything Apple.;1;3;95.2300033569336%
It won't let me create a account;1;3;78.56999969482422%
I just switched from iPhone to Samsung, and I was excited when I found out I could download Apple Music so I wouldn't have to find a new music service. That was before I found out that the app barely works. I open a playlist and it loads for two to five minutes before my songs come up, then I have to wait for individual songs to load as well. These are entire playlists that I have DOWNLOADED to my phone. They're not on the internet. Apple needs to fix this or me and my $15/mo are out of here.;1;0;63.900001525878906%
I can't get into my account anymore;1;3;78.52999877929688%
Spotify algorithm definitely better than this.;1;0;59.849998474121094%
Poor,on s23 ultra won't go past start up screen;1;6;76.80000305175781%
Iam unable to modify payment method. None it's showing. Marked with red dot .WHY;1;4;87.75%
is this an apple product? so buggy;1;1;78.54000091552734%
I signed up but still when I try to play music it doesn't let I tried for atleast 2 hours in the app;1;3;62.83000183105469%
This app has signed me out of two accounts, and locked them. What am I paying for.;1;3;87.70999908447266%
u should've mentioned that u pay for songs;1;2;62.59000015258789%
Can't Login. Apple was down and when it came back I cant get into anything. it shows my email, but nothing else. None of my music, no subscription (which I had the family plan), nothing. And I have already had to reset my password twice since it's happened. It was difficult enough just to set it all up. And customer service was of no help at all. It should not be this difficult...;1;3;44.540000915527344%
song recommendations deserve zero ⭐....faltu app.... Spotify and jio savan is best for free users ....;1;1;36.56999969482422%
I hate every thing about apple the wont even let me cancel a simple subscription;1;2;71.55000305175781%
Only installed to get the 3 months free subscription to apple tv... uninstalled straight away and cancelled the apple tv subscription. Why would I pay $10 per month for a handful of shows? Apple tv would have to be the biggest rip-off out there. Makes you think they have good shows on there,but you have to pay more for them? The front page us designed to male it look like there is more content then there actually is.;1;2;70.33999633789062%
Why do I have to install to manage Apple TV account;1;2;74.69999694824219%
The second worst app and streaming music service I have ever used. It simply doesn't work most of the time. For instance, I downloaded multiple songs to listen to on a long flight. When I went to play the downloaded songs, it kept saying I needed to connect to the internet to play the songs. Highly unreliable and not worth the money paid.;1;0;50.15999984741211%
Never went past create ID.;1;3;64.41999816894531%
Massive apk;1;0;57.119998931884766%
Does not work with Android Wi-Fi . Latest update crashed the app.;1;6;42.36000061035156%
Can't login after entering credentials. Using on a Samsung Z Fold4;1;3;43.349998474121094%
Oh? My Hiby R5 (Gen1) is considered to be rooted now?? Since I don't want to ditch my music player yet, I guess it's time to ditch Apple Music then. The sound quality of Apple Music has become very muffled anyways.;1;0;53.65999984741211%
it was all good until i purchased the apple redeem code i cant even redeem it in the app then why that is available on that app?;1;2;50.84000015258789%
bad;1;1;57.13999938964844%
Spotify is better and you can't complain;1;0;53.150001525878906%
slow support. makes it hard to access your account from other devices.;1;3;52.68000030517578%
Service suck and overrated;1;4;71.31999969482422%
Terrible only works when it wants to even worse now keeps logging me out;1;3;56.70000076293945%
geeze! losing licenses, having to reinstall, making my phone act all weird.. this app on Android is a nightmare;1;1;47.709999084472656%
Continuous problems with accessing my account. Canceled my subscription because the music was frequently unavailable when I needed to use it. Very unreliable app.;1;3;39.75%
Doesn't work well with shazam. I shazam something and try to have it open in the app and it doesn't work. Garbage app. All the developers should be terminated.;1;6;66.86000061035156%
"Everytime I attempt to access AppleTV. It tells me to download this app. Since I don't have an iPhone. When has always left me calling customer support. Apple tv produces amazing film and shows like ""For All Mankind,"" ""Foundation,""""Ted Lasso,"" & ""Silo"" plus many others. However, it is not constant that I only keep it 1 month and wait a year to subscribe again only to get caught up in a mess with Accessing AppleTv. For such an alleged tech genius company they such at user friendly accessibility.";1;3;62.939998626708984%
Doesn't work well on Android. Spotify way better.;1;0;55.27000045776367%
Terrible like most applebproducts these days;1;1;48.16999816894531%
It doesn't work when I click to charge my card. Gives me an error every time.;1;6;43.310001373291016%
Constantly turns itself on. Have to force stop it all the time. Poor design. Only have it because Verizon have me free access.;1;6;55.529998779296875%
No where near Spotify.;1;5;38.09000015258789%
Change to 1 star because the search features are really worse. Far from Spotify.;1;0;64.56999969482422%
We need Gemini support, Google assistant is being discontinued;1;0;46.2599983215332%
this is very fake this is very pack;1;2;57.13999938964844%
Not good enough but can try;1;6;78.54000091552734%
keeps telling me to enter my password and update my subscription, but I have a valid subscription. Requires me to cancel and re-subscribe.;1;3;39.81999969482422%
As soon as I login I get prompted I need to use the web version to start listening;1;4;41.529998779296875%
Did not give me my verification code 1 star.;1;4;82.83999633789062%
By making the app only available on 'unrooted devices' I can no longer listen to music on my Hiby R5. I pay for Apple One, and have headphones that require the power of the Hiby. Apple has let me down greatly.;1;1;42.790000915527344%
Unable to cancel my account. This is Apple at its absolute worst.;1;3;44.88999938964844%
"The Android application frequently logs me out when I access Apple Music, resulting in the suspension of my Apple account due to alleged ""suspicious activity."" After unlocking my account, the search function experiences significant delays, taking more than three minutes to produce results unless connected to Wi-Fi. In contrast, YouTube Music functions flawlessly. Despite having full signal strength on 5G or 4G, the issue persists for Apple Music only.";1;3;55.52000045776367%
False messages from apple about multiple devices. Pushing for family upgrade. This is intrusive fake and a corporate dishonesty. A person or office in apple actually allowed this to be happening! Bad signal for us all;1;1;65.88999938964844%
You wait until you have someone's card number,then you up the price.. Can't talk to anyone, now I have to download Apple, and I'm not getting anywhere....I will be calling my bank;1;3;49.41999816894531%
It doesn't work unless you pay subscription. I've tried numerous times to make it work with no avail.;1;2;49.81999969482422%
Having issues lately w/ it not playing.;1;6;82.83999633789062%
I seriously can't play any music without paying??? Why not just make it a paid app from the app store then, instead of wasting my time???;1;2;68.29000091552734%
I can't believe it my birthday is correct but it can not sing in;1;2;53.599998474121094%
"Was making a Playlist and it ""updated the library"" during the middle of it and removed every song I had on the Playlist";1;0;59.95000076293945%
Garbage that forces to create an account, sign in and also wants money. Just like a spouse with borderline syndrome.;1;3;44.5%
Nice;1;1;57.13999938964844%
For me, the interface is confusing and hard to navigate. It ends up feeling clunky.;1;4;51.779998779296875%
What bothers me is that my music library doesn’t sync properly across devices. It makes it harder to manage my music.;1;6;55.9900016784668%
I’d say songs sometimes disappear or get duplicated. It ends up feeling clunky.;1;5;91.41999816894531%
One issue is that recommendations aren’t very accurate. It ends up feeling clunky.;1;5;89.27999877929688%
Personally, it feels slow and laggy, especially on desktop. It ends up feeling clunky.;1;5;91.43000030517578%
Honestly, managing playlists is more difficult than it should be. It makes the experience less enjoyable.;1;5;90.47000122070312%
So far, it lacks strong social features. It makes the experience less enjoyable.;1;1;49.650001525878906%
So far, search results are inconsistent. It gets frustrating after a while.;1;5;87.75%
Personally, you have to pay to use it at all. It slows things down.;1;5;85.69999694824219%
What bothers me is that it works best only within Apple devices. That part could definitely be improved.;1;5;46.75%
I wanted to like it, but the interface is confusing and hard to navigate. That part could definitely be improved.;1;5;53.70000076293945%
The main problem is that my music library doesn’t sync properly across devices. That part could definitely be improved.;1;5;47.91999816894531%
What bothers me is that songs sometimes disappear or get duplicated.;1;5;87.73999786376953%
What bothers me is that recommendations aren’t very accurate. It ends up feeling clunky.;1;5;87.75%
The main problem is that it feels slow and laggy, especially on desktop. It makes the experience less enjoyable.;1;5;92.86000061035156%
Personally, managing playlists is more difficult than it should be. It makes the app harder to use.;1;5;90.43000030517578%
So far, it lacks strong social features. It makes the experience less enjoyable.;1;1;49.63999938964844%
One issue is that search results are inconsistent. It makes it harder to manage my music.;1;5;91.41000366210938%
So far, you have to pay to use it at all. It slows things down.;1;5;85.69999694824219%
In my experience, it works best only within Apple devices. It gets frustrating after a while.;1;1;90.44999694824219%
For me, the interface is confusing and hard to navigate. It makes it harder to manage my music.;1;4;49.099998474121094%
So far, my music library doesn’t sync properly across devices.;1;6;76.04000091552734%
The main problem is that songs sometimes disappear or get duplicated. That part could definitely be improved.;1;5;92.8499984741211%
The main problem is that recommendations aren’t very accurate. It gets frustrating after a while.;1;5;87.75%
For me, it feels slow and laggy, especially on desktop.;1;5;85.70999908447266%
In my experience, managing playlists is more difficult than it should be. It makes the app harder to use.;1;5;90.43000030517578%
Personally, it lacks strong social features. It makes the app harder to use.;1;1;56.939998626708984%
I’d say search results are inconsistent. That part could definitely be improved.;1;5;90.47000122070312%
I’d say you have to pay to use it at all. It gets frustrating after a while.;1;5;85.69000244140625%
For me, it works best only within Apple devices. It gets frustrating after a while.;1;1;89.26000213623047%
For me, the interface is confusing and hard to navigate. It makes the app harder to use.;1;4;68.0199966430664%
Honestly, my music library doesn’t sync properly across devices. It gets frustrating after a while.;1;6;63.77000045776367%
For me, songs sometimes disappear or get duplicated. It makes it harder to manage my music.;1;5;91.41000366210938%
Personally, recommendations aren’t very accurate. It makes it harder to manage my music.;1;5;89.2699966430664%
So far, it feels slow and laggy, especially on desktop. It makes it harder to manage my music.;1;5;92.19999694824219%
In my experience, managing playlists is more difficult than it should be.;1;5;82.83999633789062%
One issue is that it lacks strong social features. It makes the app harder to use.;1;1;58.68000030517578%
So far, search results are inconsistent. It slows things down.;1;5;87.75%
Personally, you have to pay to use it at all. It slows things down.;1;5;85.69999694824219%
I’d say it works best only within Apple devices. That part could definitely be improved.;1;1;47.470001220703125%
Personally, the interface is confusing and hard to navigate. It makes the app harder to use.;1;4;57.779998779296875%
Honestly, my music library doesn’t sync properly across devices. It makes it harder to manage my music.;1;6;55.9900016784668%
I’d say songs sometimes disappear or get duplicated.;1;5;87.73999786376953%
So far, recommendations aren’t very accurate. It ends up feeling clunky.;1;5;87.75%
The main problem is that it feels slow and laggy, especially on desktop. It makes the experience less enjoyable.;1;5;92.86000061035156%
I’d say managing playlists is more difficult than it should be. It makes it harder to manage my music.;1;5;90.45999908447266%
Personally, it lacks strong social features. It makes the app harder to use.;1;1;56.939998626708984%
For me, search results are inconsistent. It gets frustrating after a while.;1;5;85.70999908447266%
What bothers me is that you have to pay to use it at all. It slows things down.;1;5;85.69999694824219%
Personally, it works best only within Apple devices. It slows things down.;1;1;60.41999816894531%
I’d say the interface is confusing and hard to navigate. It gets frustrating after a while.;1;4;59.060001373291016%
In my experience, my music library doesn’t sync properly across devices. It ends up feeling clunky.;1;6;55.68000030517578%
I’d say songs sometimes disappear or get duplicated.;1;5;87.73999786376953%
For me, recommendations aren’t very accurate. It makes the experience less enjoyable.;1;5;87.75%
So far, it feels slow and laggy, especially on desktop. It makes the experience less enjoyable.;1;5;92.20999908447266%
