review;score;Topico_Dominante;Porcentaje_Similitud
too many ads for my side seeing add in every 10-15min ..so disappointed 😔;1;0;91.83000183105469%
it doesn't let me go in my account;1;0;83.80999755859375%
ghatiya app;1;1;82.7699966430664%
I gave this one too much.;1;0;87.06999969482422%
worst!!!!! I can't even play songs of my choice without a premium what kind of app is this, how in the world people are paying for it.;1;1;67.76000213623047%
Why are there songs that I can't play when I'm watching ads. And there are sooo many ads;1;0;87.44000244140625%
Amazing overall experience. I love the recommendations, I'm finding new favorite songs all the time!;1;0;85.83000183105469%
nah this app is making me angry just ads every time and some stupid problems;1;0;67.56999969482422%
stop changing the UI....... if it's not an improvement why apply the change?;1;0;85.2300033569336%
more than a song you can hear ads. so think;1;0;88.98999786376953%
so many adds;1;0;74.9000015258789%
i cant chose a song now from my playlist what a stupid.;1;0;87.45999908447266%
everytime I am trying choose any song it is showing 'explore premium' why this is happening?? this is happening again and again;1;1;62.59000015258789%
just don't download it is not spotify anymore it is addify;1;1;79.94000244140625%
to many adds imma sue;1;0;74.9000015258789%
why can't I remove songs from my queue any more?! I need this feature back.;1;0;65.70999908447266%
many many ads ...very bad experience;1;0;87.1500015258789%
Filled with gliches;1;0;73.0199966430664%
it's a worst app to listen song. don't recommended this app;1;1;58.959999084472656%
add centre...;1;0;68.0999984741211%
poor experience too much ads;1;0;89.63999938964844%
Why would I pay money for an app that censors art and music? Plus at over $120 a year I can easily buy all the msuic I listen to cheaper.;1;0;91.6500015258789%
while listening song an ad will come and say enjoy the next 30 minutes of uninterrupted listening and after 1 song another ad will appear😡;1;0;94.31999969482422%
Hate this app and it's greedy owners;1;1;68.70999908447266%
match the audio quality or make it better than apple music please;1;0;72.73999786376953%
I hate the new UI with the create button at the bottom. It is absolutely useless and inconvenient to me. It should be able to be hidden. Also, anything I play from the search tab is stuck on a loop, with the loop button constantly resetting itself.;1;1;67.87999725341797%
For me this app is going to far, not only that it has ads but I can't even play the songs, and when I play on the song it said I need to pay for premium, like why do we need to pay for everything when we just wanna listen to music? in my opinion Spotify is the not the worst but also not the best;1;0;81.86000061035156%
the app is good before last update after its so bad;1;1;87.19999694824219%
Can't play song too much;1;0;82.0199966430664%
Free frie king TAJ OPTIONAis;1;0;74.98999786376953%
nahi dena to mat do salo premium ke liye likhe kya hote ho;1;1;89.36000061035156%
I have tried too many times but I'm not unable to sign up Spotify app . please make it work. disappointing many times. please do check up once.;1;1;66.73999786376953%
fully loaded with ads;1;0;69.72000122070312%
i hate it when you need to pay to get to listen to more music;1;0;92.44000244140625%
"I have had Spotify Premium for several years, without any issues. I recently switched to Duo and the service has never worked correctly, when trying to listen on Amazon Echo devices. I was FINALLY able to find the ""contact us"" option and after 30 (pre scripted) emails, the issue still exists. I asked for a refund for the 2 months of having Duo & was told ""as a courtesy"", they could refund 1 MONTH!!! Are you kidding me! Much better streaming options available.....I do NOT recommend Spotify.";1;1;64.47000122070312%
worst app only ads this is worst app for music;1;1;71.8499984741211%
👎👎;1;0;50.0%
ismein Kai bar hatane ke bekar aise;1;1;87.44000244140625%
worst please, yt music is much better than this;1;1;88.0999984741211%
I like this app. But I regret this app for premiums and ads.;1;1;52.81999969482422%
I don't have any problem while using sp for free but it always show me ads and tell 30 minute of uninterrupted listening but then after one song I always get that irritated me more;1;0;84.5199966430664%
just 3 songs per day, wow... i thought of not giving that one star also...;1;0;93.16999816894531%
plans are expensive;1;0;82.4000015258789%
bad;1;1;74.83000183105469%
i hacked my app idk it was unusable normally;1;1;75.88999938964844%
it became worst now;1;1;81.86000061035156%
because Hindi Ako nakakapag download;1;1;83.30000305175781%
Very Worst . May Ads And Can't Change Nest Song . 🤦🏻 I Hate Lot This App Very Very Wost . 😡 All Are Use YouTube;1;0;63.970001220703125%
HORRIBLEEEE. You can't even play music without paying. don't get this app.;1;1;58.75%
👍👍👍👍;1;0;50.0%
so I cnt choose the song I want to listen now, unless I pay premium;1;0;90.98999786376953%
too many advertisement 😞;1;0;82.68000030517578%
fed up of adds ......they say 30 min uninterrupted music but after each song they give adds;1;0;92.33999633789062%
this app is turned a worst app now. we can't forword or select a song by our own decision .;1;1;79.83999633789062%
Getting worst Day by day Too many ads, can't play a specific part of the song, can't play previous songs(the option has been disabled for non premium users), can't shuffle play the playlist, can't listen songs on loop, can't see lyrics for most songs(everything has been shifted to premium). Does anyone has a better alternative for this.;1;1;50.619998931884766%
This app sucks so don't bother downloading it. I can't play any songs without a premium because I reached the daily limit to what songs I can choose to listen to. They are clearly saying come back tomorrow so ya I ain't coming back to y'all;1;0;50.130001068115234%
I can't see lyrics as I did without premium...;1;1;82.38999938964844%
worst aap ever;1;1;87.30000305175781%
Can't login again;1;1;59.220001220703125%
if you don't have subscription of this app then this app is like hell.;1;0;53.650001525878906%
why on earth would the average user want a create button where the library button was. what.;1;0;92.52999877929688%
many ads I am unpleasant;1;0;74.9800033569336%
"Edit: the new ""Create"" shortcut is 100% useless in functionality, and worse than that, messing with muscle memory for where I press to listen to what I want. Previous complaint worthy of a 1 star review: Adding podcasts to My Episodes adds them to the beginning instead of the end, and then editing the order is impossible, rendering the Playlist useless as a ""to do"" Playlist. Instead I have to manage my own Playlist and go through extra steps to add new podcast episodes to the list.";1;0;71.47000122070312%
worst music app, there will be ad after every song which takes atleast 1 min and there is no skip button for ads;1;0;81.97000122070312%
This is ridiculous, I can't choose the songs I'd like to play, I can't even play them in order of the playlists, random stuff keeps getting mixed in. You say you want us Spotify users to have a great experience with this app yet this is absolute BS. All you care about is money, at this rate, you might lose all your users. Spotify used to let us do whatever we like, that was a great experience, not this. If you REALLY want money, pull an Ao3. Ask for donations, you'll probably get a few bucks.;1;0;90.31999969482422%
Don't allow to play song repeatly;1;0;67.2300033569336%
Doesn't play the song you specifically search and select, despite it having the correct name, band, etc. You had one job and couldn't even do that.;1;0;86.76000213623047%
is it just me or spotify stops my songs out of the blue, and then it just plays them like nothing happened(i am a premium user, and it has happened while am ofline);1;1;92.37000274658203%
"I'll say it right here. Spotify is scummy. They won't even let us loop a singular song without having premium. They play ads during ""30 minutes of ad free listening"" just for profit.";1;0;91.98999786376953%
four or so ads 30 seconds long each every like 15 minutes Want a break from the ads?;1;0;95.22000122070312%
so more advertisment chep aap;1;1;74.95999908447266%
very bad it even play's an incorrect song;1;1;84.94000244140625%
worst app ever used ...they just want us to buy their membership...wanna give negative rating ....other apps are too gudd from this;1;0;62.529998779296875%
first time i liked and the now spotify is only for rich;1;1;84.5199966430664%
why lock the device broadcast status setting?? thank you, I quit Spotify;1;1;93.30000305175781%
They put time stamps in their native podcast episode descriptions. Clicking on those time stamps just starts the episode over at the beginning. Just, why? The enshitification continues.;1;0;64.61000061035156%
IL n'est pas a mon goût parce que je peux pas entendre sans connexion resaux;1;0;68.22000122070312%
This app doesn't contain Assamese language.;1;1;73.33000183105469%
The free version keeps getting worse and worse. No wonder people have to pirate Spotify for it to even be usable;1;0;59.630001068115234%
Everything requires premium;1;1;77.5%
🤮💩;1;0;50.0%
App constantly asks me to rate it;1;1;50.099998474121094%
Hungry for money;1;0;58.84000015258789%
New UI is terrible, the create button does not need to be there;1;0;55.099998474121094%
so Bad .....;1;1;74.83000183105469%
more ads and less songs very disappointed;1;0;89.0%
hindi ko ma play yung mga favorite songs ko;1;1;91.86000061035156%
horrible, crashes every time you try to open the app;1;1;68.87000274658203%
Horrible. The usability and policies of this app are terrible. We don't see the time of the songs in advance, in the free option you can't listen to the same song. Disorganized, slow environment... Horrible.;1;0;78.33999633789062%
great way to ruin mood while we're feeling the musics;1;0;91.79000091552734%
