review;score;Topico_Dominante;Porcentaje_Similitud
good;3;0;65.88999938964844%
Access to content and price are great. However, the performance of the app has been very poor over recent months. Stalling, freezing, randomly stopping/skipping episodes.;3;1;74.05999755859375%
I love the experience but I am always tired of these Spotify premium commercials like I am over here listening to my music then it pops up I am so tired of and also I am so tired of shuffle mode,PLS TAKE OF Shuffle MODE;3;0;71.73999786376953%
whenever I'm trying to listen to a song, I get a completely different song.;3;2;91.70999908447266%
for best experience 😉;3;0;72.7300033569336%
Excellent app with every kind of music that vibes with your mood or place.;3;1;88.0%
had to redownload multiple times since loading the Playlists took like 10 minutes each time. other than that its good;3;0;92.13999938964844%
please add umobile to pay the sub i need it;3;2;64.41999816894531%
the DJ feature needs some work;3;1;86.16999816894531%
lit;3;0;33.33000183105469%
It's good for audio music listening my smart watch also has Spotify but from few days it's not working 🤧;3;2;63.560001373291016%
Overtime, the apps suggest less unless songs and the selection gets only worse. The shuffle button don't exist, it only repeats your most listened to songs out of the playlist. youtube premium has more of a selection;3;0;44.34000015258789%
Really great song lists, but an ad after ever single song is so predatory for people's money. Makes me hate using this app. You listen to a song for 3 to 4 minutes just to get a whole minute of 3 different annoying ads that aren't relevant to me... I'm also not a fan of the same song being put on repeat. If I like a song, I wish a similar song or a song by the artist would be played. Edit: Ever since the new update came out, the app fails to play any songs. It kicks me out when I click play...;3;2;58.61000061035156%
there are several songs that are not here i know this is not something we should rate this app for but i think its essential for a music app to have a large library there are some bugs that i found and still struggling with those bugs;3;1;84.33999633789062%
"I love the app and have been a paid subscriber for years. But lately the UI has undergone some asinine changes, like the ""Add Account"" on the top left and the ""Create"" on the bottom right. We don't need these so front and center. ""Add Account"" should just go under ""Settings and privacy"". Create, on the other hand, seems like an option added by an executive who does not actually use the app.";3;1;97.05000305175781%
everything about Spotify is super but please please Do not play any horror ad at night time. its very disturbing. please rectify it. i would have given 5 star but the horror podcast at and sounds are very pathetic specially at the time when you are trying to sleep peacefully and suddenly you wake up to horror pathetic sounds. please stop doing that its a request.;3;1;83.56999969482422%
the app was working fine until the update that the company did bc the song I want to play isn't playing and it is glitching freezing and playing random songs.;3;2;75.1500015258789%
not good it is not installing;3;0;65.88999938964844%
average;3;0;33.33000183105469%
better than other music streaming appt;3;0;80.2699966430664%
Smart shuffle suddenly has SERIOUS issues and causes the app to crash out and go soundless until you force stop the app.;3;1;71.33999633789062%
Honestly, after the 14 Day Free Trail of Predium with no strings attached is kinda just a huge annoyance, since it just cuts off so many features from it's free users, honestly, I'd rather listen to an ad after every 3-4 loops of a song that I picked in a playlist rather than forcing me to get to that song I want to listen to for the duration of the song before being forced to try to find it again. I honestly don't like the price hike that's happening, which is making me consider my options.;3;0;60.130001068115234%
Crashing;3;1;66.63999938964844%
irrespective of good data connection songs are not playing one after another until I press the Next button. It is happening only in premium version. It never happened in free version.;3;1;54.27000045776367%
too much adds ,,, doesn't show played list;3;2;87.2699966430664%
This is so easy to use, quality music, but doesn't have every song like YouTube music. Otherwise, the premium prices are very reasonable, so I would highly recommend people to get this app;3;1;49.9900016784668%
The app keeps closing in the background, not exactly ideal when trying to enjoy my music;3;1;80.01000213623047%
it was alright but I can't repeat songs and it gets on my nerves even tho before I was able to and that was only for a week;3;2;90.30000305175781%
Having to pay to play your music in order is very annoying but the good thing is it lets you play offline;3;2;75.54000091552734%
The app itself is pretty good, but it really needs a feature to block certain podcasts entirely. It keeps recommending and playing a certain podcast I really hate and there's no way to stop and block the entire podcast off of my account.;3;1;46.310001373291016%
it's okay, the only problem I have is that It lies. it tells me to enjoy 30 minutes of interrupted listening, and then I skip one song, and it gives me 4 ads in a row. this.counts as a false advertisement.;3;0;94.80000305175781%
A lot of BUGs! stops for no reason, and no library is working for free version.;3;1;60.779998779296875%
I want all song for lyrics;3;2;82.70999908447266%
This was 5 stars for a while. Lately, every time I connect any Bluetooth device, this autoplays. It plays over phone calls when I get in my car. I love the music, but music isn't the only use for my phone!;3;1;60.119998931884766%
really great UI and functionality in premium but not having lossless audio is a major problem audio sounds considerably worse than services like apple music or deezer;3;2;50.560001373291016%
u should not aad any premium;3;2;74.37000274658203%
