review;score;Topico_Dominante;Porcentaje_Similitud
Good luck with;3;0;71.77999877929688%
Great that I can get apple music on an android device, however album art is not displaying when BT connection is utilized in my car. However an iPhone does display album art via BT in my car. A bit disappointing.;3;1;95.23999786376953%
please fix issues with google cast/cast in general, it is very buggy;3;1;91.37000274658203%
Music takes forever to load, even with 5g full service;3;1;91.58000183105469%
good but;3;0;71.77999877929688%
I love that I can upload my personal CD collection and read lyrics inside the app. But the Android Auto and Google Assistant integrations are terrible. I try to ask Assistant to play something and it says Apple Music isn't available. On Android Auto, songs also sometimes end early if crossfade is on, but will mute completely if off. Please test those two integrations more thoroughly since I'm sure a lot of your users listen while driving.;3;1;83.11000061035156%
Not able to select payment option;3;1;53.7400016784668%
"Now the app started to add tracks that I marked as ""suggest less"" in my library.";3;1;91.30999755859375%
This is my first foray into apple music. Why the hell isn't there a banner on the notification shade to control music quickly? It's not even showing up in the lockscreen. I need to open the app to skip to the next track. What the hell? Is this like an apple music thing or it's a bug?;3;1;95.66999816894531%
It just keeps on crashing it worked a few days back but it just closes whenever I want to use it now but overall it's a. Great app probably cause I'm using it on Android;3;1;92.3499984741211%
Its great minus the near constant interference when I'm currently making a playlist whether its music suggestion or taking me elsewhere when I'm taking from an already made playlist for another.;3;1;58.099998474121094%
Good;3;0;71.77999877929688%
Please fix the This Music not available issue, it really makes me complicated, because i have to Uninstall and reinstall the app.;3;1;93.30999755859375%
Nice app;3;0;79.94999694824219%
It often gets random problems but overall is decent;3;0;82.87999725341797%
Just one example. When I try to remove the apartment number from billing address, it does nothing. I moved over 2 years ago, and it still hasn't been fixed. No idea how it got past QA in the first place. Textbook mistake. And it's small things like this here and there that make the impression and form the experience. So much for the APPLE brand.;3;1;79.79000091552734%
Why do you have to pay to listen to songs. Pls make that stop!;3;1;90.63999938964844%
I only downloaded it to listen Stray Kids' radio. Overall it's practical. But I'll still be using Spotify for now, because I think it works better and I saw more quality if that's the word.;3;0;78.76000213623047%
Update the app it's boring Bru add new features please!!?;3;1;90.97000122070312%
Enable Bit Perfect on Android... No exclusive USB access even on android 14.;3;1;66.9000015258789%
I want to listen to my purchases from iTunes unless I signed up for the product.;3;1;76.36000061035156%
I could live with very poor screen configuration options and with the absence of images on Playlist icons. But the impossibility of disabling the auto-play upon connection of bluetooth devices is extremely annoying. I really hate that.;3;0;81.31999969482422%
I've used this app for about 15 yrs. I was given a nano pod. The library seems limitless. I use it for music only. Two things to know. 1. You have to continue paying if you want to listen to the music that you already paid for. If you don't pay your monthly subscription, no tunes. 2. After it plays an album that you have selected from your library it will play random songs, ones that are not in your library. Doesn't make sense to me.;3;1;98.05000305175781%
I like the app à lot but I wish all the albums of the Artist was up on the app;3;0;53.38999938964844%
I will never be able to eat chicken with this app;3;1;84.2300033569336%
error playlist cover, always blank white then shows my pict, then white again, broken. blink;3;1;74.7300033569336%
I'm just trying out it would be cool if I could connect with PS5 so I could pick the music from the phone app too like on Spotify . So that's one thing is missing for me at the moment. I would say better quality than Spotify but bad playlist especially for you . I just started using the app and I'm having issues knowing what to play the my playlist is just bad playing the same songs and sometimes something new . New music Friday is playing old stuff . Not great experience. So far after trying .;3;0;58.36000061035156%
O recently played parou de funcionar há dias, não consigo ouvir conteúdo explícito porque o teclado não funciona na hora de definir uma senha e isso aconteceu depois da última atualização. Resolvam, por favor.;3;0;91.05000305175781%
Its a good app but there are many glitches which needs some attention;3;0;90.16999816894531%
Hard to use, stops playing, just because it has an open passive window on my PC. Freezes often. I got it for free for 5 months, when that expires, I will never use it again.;3;1;57.06999969482422%
Stairway to heaven;3;0;50.0%
"Performance has dipped. Codes no longer being sent by text. Even when I ask for a call, there's no guarantee I'll get a code. Some tracks ""can't be downloaded"" and won't play on my phone. Considering abandoning the platform TBH. Why pay a monthly fee for such wobbly performance?";3;1;90.43000030517578%
Buggy;3;1;67.80000305175781%
Thank You;3;1;74.70999908447266%
