review;score;Topico_Dominante;Porcentaje_Similitud
too many ads for my side seeing add in every 10-15min ..so disappointed 😔;1;0;43.88999938964844%
it doesn't let me go in my account;1;3;78.5199966430664%
ghatiya app;1;2;71.41000366210938%
I gave this one too much.;1;1;51.43000030517578%
worst!!!!! I can't even play songs of my choice without a premium what kind of app is this, how in the world people are paying for it.;1;3;76.4800033569336%
Why are there songs that I can't play when I'm watching ads. And there are sooo many ads;1;4;47.619998931884766%
Amazing overall experience. I love the recommendations, I'm finding new favorite songs all the time!;1;4;72.93000030517578%
nah this app is making me angry just ads every time and some stupid problems;1;0;46.810001373291016%
stop changing the UI....... if it's not an improvement why apply the change?;1;6;82.83999633789062%
more than a song you can hear ads. so think;1;4;70.94999694824219%
so many adds;1;0;71.37999725341797%
i cant chose a song now from my playlist what a stupid.;1;3;85.69000244140625%
everytime I am trying choose any song it is showing 'explore premium' why this is happening?? this is happening again and again;1;5;54.939998626708984%
just don't download it is not spotify anymore it is addify;1;1;78.51000213623047%
to many adds imma sue;1;0;71.37999725341797%
why can't I remove songs from my queue any more?! I need this feature back.;1;6;67.58000183105469%
many many ads ...very bad experience;1;0;59.65999984741211%
Filled with gliches;1;4;57.130001068115234%
it's a worst app to listen song. don't recommended this app;1;4;46.84000015258789%
add centre...;1;2;57.08000183105469%
poor experience too much ads;1;2;82.83999633789062%
Why would I pay money for an app that censors art and music? Plus at over $120 a year I can easily buy all the msuic I listen to cheaper.;1;3;49.79999923706055%
while listening song an ad will come and say enjoy the next 30 minutes of uninterrupted listening and after 1 song another ad will appear😡;1;0;48.849998474121094%
Hate this app and it's greedy owners;1;3;58.0%
match the audio quality or make it better than apple music please;1;1;89.26000213623047%
I hate the new UI with the create button at the bottom. It is absolutely useless and inconvenient to me. It should be able to be hidden. Also, anything I play from the search tab is stuck on a loop, with the loop button constantly resetting itself.;1;6;68.7699966430664%
For me this app is going to far, not only that it has ads but I can't even play the songs, and when I play on the song it said I need to pay for premium, like why do we need to pay for everything when we just wanna listen to music? in my opinion Spotify is the not the worst but also not the best;1;3;49.61000061035156%
the app is good before last update after its so bad;1;2;33.9900016784668%
Can't play song too much;1;4;57.56999969482422%
Free frie king TAJ OPTIONAis;1;0;57.119998931884766%
nahi dena to mat do salo premium ke liye likhe kya hote ho;1;2;48.02000045776367%
I have tried too many times but I'm not unable to sign up Spotify app . please make it work. disappointing many times. please do check up once.;1;5;43.15999984741211%
fully loaded with ads;1;0;71.41000366210938%
i hate it when you need to pay to get to listen to more music;1;3;87.72000122070312%
