review;score;Topico_Dominante;Porcentaje_Similitud
well the 1 month free primum was nice or ig that's what I had because it played the songs I wanted and it had alot of them that I can't always get anywhere but after... I couldn't play my music because it would give me something completely different like I asked for some Melanie Martinez and I got like...the weekend.. ads ALL THE TIME before and after songs! I mean these things kinda ruined it... the ads are fine.. but I just wanna play my music breh -;5;2;31.200000762939453%
Nice app;4;3;72.11000061035156%
best for music all songs are getting here;4;0;41.380001068115234%
Best app for music. Even the free version has plenty of songs. Ads are a bit frequent.;4;4;36.689998626708984%
good;4;4;58.33000183105469%
it just unsubscribed me from premium and has debited me twice for this month and I'm about to pay again this month . why ?;4;1;86.11000061035156%
The reason why I put it as ⭐⭐⭐⭐ is bc when u want to get to the next song it doesn't let u so you have to listen to the one that you hate or just dislike idk maybe for me it's like that than someone give me help 😭 but if it isn't than! FIX IT! 😠;4;1;53.060001373291016%
it gets stuck all the time , too much ads;4;1;40.150001525878906%
Good;4;4;58.33000183105469%
it's great but suddenly my app closes when i repeat the song once or even sometimes at random, it's getting annoying;4;2;71.4000015258789%
arjit singh...💟;4;0;16.670000076293945%
that's a delicious app that give me too much my favourite songs and I like this that and this is my one of the best app which have I used so I give it 4 and half stars 🤩😍😍;4;2;37.93000030517578%
great music app but the widget does not change color like its supposed to;4;2;64.66000366210938%
best but some lyrics are not there;4;0;38.88999938964844%
please remove limit of skipping songs;4;2;49.119998931884766%
I don't know if it's my algorithm but live streaming ain't smooth lately.;4;1;45.2599983215332%
overall good app, but they really didn't needed to put adds for us to buy premium, like the adds are literally about how adds interrupt your music. Like it kinda doesn't make sense. But overall very good app, good job👍.;4;4;30.350000381469727%
yeah just put more things in the normal;4;2;79.06999969482422%
Spotify is just amazing with its excellent software and Best bass bossted Sound qualifies Songs best 100% Clarity the disgusting thing is its premium without premium spotify of no use. So only 4 Stars.;4;1;42.84000015258789%
Nice app;4;3;72.11000061035156%
nice;4;3;58.33000183105469%
great platform with decent recommendations but you need premium to fully enjoy the app.;4;1;27.1200008392334%
4.5 , as this is really a great app but .5 less b'coz some songs are not available in this region (in my country India). Please make more songs available here as well like other countries. - 25.06.2020 Edit: All good 👍🏻;4;4;37.90999984741211%
was great sir;4;2;58.290000915527344%
Poor service, cheap quality;4;4;63.68000030517578%
only thing about Spotify I like that is off screen playback.;4;5;38.43000030517578%
"App is great, but changing ""your library"" button for no reason is bruh. Just why";4;2;38.599998474121094%
Sound system is too good but song recommendations aren't satisfied 😔;4;2;44.279998779296875%
Great for old and upcoming artist;4;1;44.369998931884766%
So many ads.😤 . But quality is great.🫡;4;4;43.2599983215332%
SO GUD LOVE IT;4;5;41.540000915527344%
Splendid;4;0;58.33000183105469%
The only problem is that if they could download also lyrics;4;2;56.060001373291016%
spotify is the best but of late it keeps randomly crashing and pausing music while playing it keeps getting worse with the updates;4;1;66.22000122070312%
good;4;4;58.33000183105469%
super;4;3;58.33000183105469%
Great music. Missing 5 stars only because some options like offline download are available only for the paid version. Then again one can't expect something free to be totally awesome. You want better, you pay for it;4;1;46.63999938964844%
good 👍;4;4;58.33000183105469%
best;4;0;58.33000183105469%
works great;4;5;72.08000183105469%
In what i have seen this app is amaizen;4;3;72.0999984741211%
it's a really good music app . I have a premium subscription and the recommendations are amazing. And Please add AI DJ to India .;4;1;36.86000061035156%
How do I talk to your ai again?;4;1;72.19999694824219%
good;4;4;58.33000183105469%
Good App But Sometimes When Want A Song For D Second Time, It Suggests To Convert To Pro Version.;4;2;56.52000045776367%
am rating it four because of the ads otherwise it's the best app I recommend;4;4;44.2400016784668%
Good;4;4;58.33000183105469%
how to move song please add;4;2;83.2699966430664%
sometimes like ex, sometimes like best ❗;4;2;69.38999938964844%
super;4;3;58.33000183105469%
love it👌;4;0;58.31999969482422%
A lot of features have been removed and put into paid premium section.Worst music app .I'm changing for a new music platform 👎 joisavan is much better;4;2;43.459999084472656%
It's more than just listening to music on Spotify. The app pays attention to your activity on the app each year and provide a personalized report. I'd prefer the app don't suggest music I don't listen to our provide updates not relevant to me.;4;1;29.209999084472656%
Besides repetitive ads great music collection;4;2;43.040000915527344%
I'm happy,only that sometimes the adverts pops up.;4;2;83.33000183105469%
gift cards don't work well, but otherwise this is my favorite music app🙂;4;0;42.70000076293945%
good;4;4;58.33000183105469%
all over good but will be better if have option to download songs and can't listen offline;4;1;44.40999984741211%
this app is nice but not plays music in queue;4;3;52.5%
Most precious songs are there.. Best vibes on spotify.. 😉;4;1;36.630001068115234%
just perfect!;4;1;58.279998779296875%
it's okay;4;4;58.33000183105469%
many ads;4;4;72.22000122070312%
The app is quite amazing yet I'm concerned that I was overcharged and got no refund until today. Plus I got an offer to experience the app for 3 months for free but I was still charged after adhering to the offer.;4;2;57.029998779296875%
best;4;0;58.33000183105469%
great app, love premium features and that I can have an account for each member of my family, even the kids. Don't like that podcasts do not play in the order I have sorted them in. if I sort reverse chronological then I want them to play in that order. I constantly need to stop then manually scroll to change to next podcast according to how I have sorted them as it always starts playing the previous episode I have already heard. Especially when I am in the car...;4;2;41.90999984741211%
