reviewId;review;score;gender;location;date
0;Spatial audio doesn't work with pixel 7 and pixel buds pro;negative;male;Seoul, South Korea;2023-06-01
1;The app is not loading when searching for music. Please fix issue. It fails to load when searching for music.;negative;male;Rome, Italy;2022-11-28
2;Ever since an update recently, songs will skip and not play. Itcan skip up to 3 songs at a time and then decide to play a song. It's quite annoying. Does anyone know how to fix it?;negative;male;Guadalajara, Mexico;2024-04-22
3;On chromebook the app keeps kicking me out and I have to call support to reconnect as there is no place to sign in once kicked out. very frustrating;negative;male;New York, United States;2025-02-17
4;I am attempting to cancel my subscription and it sends me to an empty page claiming I have no subscription while still being charged.;negative;male;Phoenix, United States;2024-03-03
5;I dont appreciate being told and forced to download an app just to manage my subscriptions... to stop you from taking money out of my bank sccount... then find out that Apple told you the wrong info and you manage subscriptions elsewhere... Youve designed it so people HAVE to download this app, making your total downloads looking far superior to what they actually should be. Disgusting company.;negative;male;Cancun, Mexico;2024-05-17
6;New update randomly only plays left channel. So annoying;negative;male;Budapest, Hungary;2022-11-20
7;the music skips, stalls, and straight up stops playing constantly. I'm about to delete the app and everything if it don't get fixed soon;negative;male;Dallas, United States;2024-05-19
8;app is very slow when u try to log in;negative;female;Canberra, Australia;2025-10-25
9;Horrible.;negative;male;Lima, Peru;2025-07-12
10;Frustrated that this app wants me to pay for use with the ITunes I already have. No... Not worth it to me.;negative;male;Ottawa, Canada;2025-02-23
11;The app is really bad why do I have to pay to access my music that I have already paid for!;negative;male;Seville, Spain;2023-03-11
12;The update has made Apple music useless. Can't play any music ever since the latest update;negative;male;Suva, Fiji;2025-08-30
13;not working;negative;male;Guayaquil, Ecuador;2025-07-19
14;Worthless $10.99 app. It makes you pay to download movies and music you already own and if your subyruns out you no longer have access to your OWNED personal content. You end up paying over and over each month to watch your movies while on the go.;negative;male;Dubai, United Arab Emirates;2023-05-14
15;"Forced the ""Favorite"" playlist on my account and won't allow me to delete it, even though it is empty. It's an eyesore and I hate it. My amount of stars will change once this is rectified.";negative;male;Quebec City, Canada;2024-11-02
16;Boo;negative;male;Seville, Spain;2022-11-29
17;"My music keeps being removed from my phone, individual songs download multiple times over, often in the same album. The only good thing about this app is the fact that there are no ads, and it doesn't crash very often. Still quite frustrating to have new releases and not be able to play them without going into the artist page, then pressing and holding on the song and selecting play, even though you pressed ""download album"" about a thousand times. Please fix your app.";negative;male;Glasgow, United Kingdom;2023-03-20
18;It says error code 19623 😵;negative;male;Harare, Zimbabwe;2023-11-05
19;Not relevant to me not sure why I even have it;negative;male;Bangalore, India;2023-05-06
20;Cringe company, cant make a simple music app which doesnt crash every 5mins;negative;male;Santa Cruz, Bolivia;2025-03-28
21;Sign up never works . Too complicated;negative;male;Montevideo, Uruguay;2025-06-04
22;Apple music likha hai par seb nahi khilaya dokha 🍎;negative;male;Dakar, Senegal;2023-12-07
23;I opened the app and it told me to go to the web to subscribe, but the web version keeps directing me to the app;negative;male;Accra, Ghana;2023-11-07
24;this app should be also for android users;negative;male;Rome, Italy;2023-03-14
25;1234@@@@ 1234@@@@ 1234@@@@;negative;male;Frankfurt, Germany;2023-02-10
26;本当にお金が必要!?私はこれが嫌いです！;negative;male;Denver, United States;2025-02-03
27;The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, music buffers endlessly, search results get stuck loading. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. Music quality dropping randomly from lossless to nothing;negative;male;Vancouver, Canada;2024-09-26
28;when I stopped subscription- I am unable to play/access the music that was brought;negative;male;Stockholm, Sweden;2023-01-08
29;I use Spotify;negative;male;San Francisco, United States;2024-05-11
30;apple music is a rip off no music subscription needs to be that much a month and get no access to the music you have purchased and own no wonder people illegally download 11 a month is a crazy price to pay;negative;male;Boston, United States;2024-02-11
31;There is no easy way to renew a subscription. Still lookin' my TV is interrupted, and I have read the legal mumbo jumbo, but still can't renew my subscription. I have my credit card standing by. I still can not open apple music! I feel pressed to rate one star!;negative;male;Fortaleza, Brazil;2025-07-09
32;First thing it wants is payment;negative;male;Monterrey, Mexico;2025-02-09
33;Paying Android subscriber deeply disappointed by the absence of haptic feedback (like iOS 'Music Haptics'). Apple touts commitment to designing products 'for everyone,' yet ignores this basic accessibility feature on Android. The HapticGenerator API & other Android tech natively allow this enhanced experience. This disparity suggests that 'everyone' really means certain customers. Paying Android users deserve feature parity, especially for accessibility. Implement haptics or discount the service;negative;male;Boston, United States;2024-09-28
34;Since I updated the app, I can't download new songs anymore.;negative;male;Calgary, Canada;2024-08-02
35;허구헌날 무한로딩;negative;female;Adelaide, Australia;2025-11-02
36;Offers are not supported.;negative;female;Perth, Australia;2025-12-15
37;music is not loud enough even if you use speaker at full volume. For some songs it's too low...;negative;male;Nairobi, Kenya;2023-11-30
38;I have failed to identify the Subscribe button on the app and when I went to the web still it made no difference so please help me out;negative;male;Singapore, Singapore;2023-08-09
39;I've spent probably over a thousand dollars on iTunes music, movies and shows back when that was the thing... And now I have to pay a monthly fee to access those songs I've purchased? Terrible. Absolutely terrible business model.;negative;male;Salvador, Brazil;2025-05-10
40;Can't stand anything about Apple!!! All they care about is making money and being stupid liberals.;negative;male;Athens, Greece;2023-01-18
41;This is so beyond ridiculous everything they make you do to sign up for their TV streaming app without an apple device is disgusting;negative;male;Pretoria, South Africa;2023-12-30
42;Idk;negative;male;Amsterdam, Netherlands;2023-01-25
43;Apple music sucks. I couldn't even get started because no matter what password I try to use, it tells me the password is not secure. This is EXACTLY why I hate anything Apple.;negative;male;Kumasi, Ghana;2023-11-08
44;It won't let me create a account;negative;male;Zurich, Switzerland;2023-01-25
45;I just switched from iPhone to Samsung, and I was excited when I found out I could download Apple Music so I wouldn't have to find a new music service. That was before I found out that the app barely works. I open a playlist and it loads for two to five minutes before my songs come up, then I have to wait for individual songs to load as well. These are entire playlists that I have DOWNLOADED to my phone. They're not on the internet. Apple needs to fix this or me and my $15/mo are out of here.;negative;male;Johannesburg, South Africa;2023-10-06
46;I can't get into my account anymore;negative;male;Arequipa, Peru;2025-05-03
47;Spotify algorithm definitely better than this.;negative;female;Sydney, Australia;2025-09-13
48;Poor,on s23 ultra won't go past start up screen;negative;male;Buenos Aires, Argentina;2025-05-06
49;Iam unable to modify payment method. None it's showing. Marked with red dot .WHY;negative;male;Seattle, United States;2024-08-13
50;is this an apple product? so buggy;negative;male;Vancouver, Canada;2024-10-14
51;I signed up but still when I try to play music it doesn't let I tried for atleast 2 hours in the app;negative;male;Pretoria, South Africa;2023-12-27
52;This app has signed me out of two accounts, and locked them. What am I paying for.;negative;male;Phuket, Thailand;2023-05-19
53;u should've mentioned that u pay for songs;negative;male;Tijuana, Mexico;2024-03-22
54;Can't Login. Apple was down and when it came back I cant get into anything. it shows my email, but nothing else. None of my music, no subscription (which I had the family plan), nothing. And I have already had to reset my password twice since it's happened. It was difficult enough just to set it all up. And customer service was of no help at all. It should not be this difficult...;negative;male;Tijuana, Mexico;2025-02-26
55;song recommendations deserve zero ⭐....faltu app.... Spotify and jio savan is best for free users ....;negative;male;Madrid, Spain;2023-01-17
56;I hate every thing about apple the wont even let me cancel a simple subscription;negative;male;Oslo, Norway;2022-11-29
57;Only installed to get the 3 months free subscription to apple tv... uninstalled straight away and cancelled the apple tv subscription. Why would I pay $10 per month for a handful of shows? Apple tv would have to be the biggest rip-off out there. Makes you think they have good shows on there,but you have to pay more for them? The front page us designed to male it look like there is more content then there actually is.;negative;male;Cali, Colombia;2025-04-10
58;Why do I have to install to manage Apple TV account;negative;male;Durban, South Africa;2023-10-17
59;The second worst app and streaming music service I have ever used. It simply doesn't work most of the time. For instance, I downloaded multiple songs to listen to on a long flight. When I went to play the downloaded songs, it kept saying I needed to connect to the internet to play the songs. Highly unreliable and not worth the money paid.;negative;male;Mexico City, Mexico;2025-01-21
60;Never went past create ID.;negative;male;Seattle, United States;2025-02-28
61;Massive apk;negative;female;Wellington, New Zealand;2025-10-14
62;Does not work with Android Wi-Fi . Latest update crashed the app.;negative;male;Jacksonville, United States;2024-02-09
63;Can't login after entering credentials. Using on a Samsung Z Fold4;negative;male;Kampala, Uganda;2023-12-23
64;Oh? My Hiby R5 (Gen1) is considered to be rooted now?? Since I don't want to ditch my music player yet, I guess it's time to ditch Apple Music then. The sound quality of Apple Music has become very muffled anyways.;negative;male;Santiago, Chile;2025-05-22
65;it was all good until i purchased the apple redeem code i cant even redeem it in the app then why that is available on that app?;negative;male;Quito, Ecuador;2025-04-03
66;bad;negative;male;Washington DC, United States;2024-11-26
67;Spotify is better and you can't complain;negative;male;Montevideo, Uruguay;2025-05-27
68;slow support. makes it hard to access your account from other devices.;negative;male;Jacksonville, United States;2024-11-14
69;Service suck and overrated;negative;female;Auckland, New Zealand;2025-11-12
70;Terrible only works when it wants to even worse now keeps logging me out;negative;male;Mombasa, Kenya;2023-11-25
71;geeze! losing licenses, having to reinstall, making my phone act all weird.. this app on Android is a nightmare;negative;male;Monterrey, Mexico;2025-03-04
72;Continuous problems with accessing my account. Canceled my subscription because the music was frequently unavailable when I needed to use it. Very unreliable app.;negative;female;Canberra, Australia;2025-11-03
73;Doesn't work well with shazam. I shazam something and try to have it open in the app and it doesn't work. Garbage app. All the developers should be terminated.;negative;male;Marrakesh, Morocco;2023-11-25
74;"Everytime I attempt to access AppleTV. It tells me to download this app. Since I don't have an iPhone. When has always left me calling customer support. Apple tv produces amazing film and shows like ""For All Mankind,"" ""Foundation,""""Ted Lasso,"" & ""Silo"" plus many others. However, it is not constant that I only keep it 1 month and wait a year to subscribe again only to get caught up in a mess with Accessing AppleTv. For such an alleged tech genius company they such at user friendly accessibility.";negative;male;Los Angeles, United States;2024-10-09
75;Doesn't work well on Android. Spotify way better.;negative;male;Harare, Zimbabwe;2023-12-31
76;Terrible like most applebproducts these days;negative;male;Houston, United States;2024-04-20
77;It doesn't work when I click to charge my card. Gives me an error every time.;negative;male;Geneva, Switzerland;2023-01-31
78;Constantly turns itself on. Have to force stop it all the time. Poor design. Only have it because Verizon have me free access.;negative;male;Edinburgh, United Kingdom;2022-11-28
79;No where near Spotify.;negative;male;Bogotá, Colombia;2025-03-29
80;Change to 1 star because the search features are really worse. Far from Spotify.;negative;male;Philadelphia, United States;2024-04-10
81;We need Gemini support, Google assistant is being discontinued;negative;male;San Antonio, United States;2024-10-22
82;this is very fake this is very pack;negative;male;Philadelphia, United States;2025-03-06
83;Not good enough but can try;negative;male;Phoenix, United States;2024-03-01
84;keeps telling me to enter my password and update my subscription, but I have a valid subscription. Requires me to cancel and re-subscribe.;negative;male;Tunis, Tunisia;2024-01-03
85;As soon as I login I get prompted I need to use the web version to start listening;negative;male;Jeddah, Saudi Arabia;2023-05-19
86;Did not give me my verification code 1 star.;negative;male;São Paulo, Brazil;2025-05-07
87;By making the app only available on 'unrooted devices' I can no longer listen to music on my Hiby R5. I pay for Apple One, and have headphones that require the power of the Hiby. Apple has let me down greatly.;negative;male;Buenos Aires, Argentina;2025-06-21
88;Unable to cancel my account. This is Apple at its absolute worst.;negative;male;San Antonio, United States;2025-02-28
89;"The Android application frequently logs me out when I access Apple Music, resulting in the suspension of my Apple account due to alleged ""suspicious activity."" After unlocking my account, the search function experiences significant delays, taking more than three minutes to produce results unless connected to Wi-Fi. In contrast, YouTube Music functions flawlessly. Despite having full signal strength on 5G or 4G, the issue persists for Apple Music only.";negative;male;Adelaide, Australia;2025-08-09
