reviewId,review,score,gender,location,date,,
0,too many ads for my side seeing add in every 10-15min ..so disappointed 😔,1,male,"Dakar, Senegal",2022-12-26,,
1,it doesn't let me go in my account,1,male,"Quito, Ecuador",2024-07-20,,
2,ghatiya app,1,male,"Warsaw, Poland",2020-10-30,,
3,I gave this one too much.,1,male,"Shanghai, China",2022-05-23,,
4,"worst!!!!! I can't even play songs of my choice without a premium what kind of app is this, how in the world people are paying for it.",1,male,"Valencia, Spain",2021-08-02,,
5,Why are there songs that I can't play when I'm watching ads. And there are sooo many ads,1,male,"Seville, Spain",2021-04-22,,
6,"Amazing overall experience. I love the recommendations, I'm finding new favorite songs all the time!",1,male,"Vienna, Austria",2021-10-16,,
7,nah this app is making me angry just ads every time and some stupid problems,1,male,"Bangalore, India",2022-08-13,,
8,stop changing the UI....... if it's not an improvement why apply the change?,1,male,"Johannesburg, South Africa",2022-11-17,,
9,more than a song you can hear ads. so think,1,male,"Philadelphia, United States",2023-08-13,,
10,so many adds,1,male,"Casablanca, Morocco",2022-12-30,,
11,i cant chose a song now from my playlist what a stupid.,1,male,"Guayaquil, Ecuador",2024-05-15,,
12,everytime I am trying choose any song it is showing 'explore premium' why this is happening?? this is happening again and again,1,male,"Stockholm, Sweden",2021-11-19,,
13,just don't download it is not spotify anymore it is addify,1,male,"Auckland, New Zealand",2025-05-14,,
14,to many adds imma sue,1,male,"Berlin, Germany",2020-12-20,,
15,why can't I remove songs from my queue any more?! I need this feature back.,1,male,"Denver, United States",2024-04-17,,
16,many many ads ...very bad experience,1,male,"Kampala, Uganda",2022-12-26,,
17,Filled with gliches,1,male,"Houston, United States",2023-09-19,,
18,it's a worst app to listen song. don't recommended this app,1,male,"Berlin, Germany",2021-07-21,,
19,add centre...,1,male,"Vienna, Austria",2021-11-07,,
20,poor experience too much ads,1,male,"Rio de Janeiro, Brazil",2024-12-19,,
21,Why would I pay money for an app that censors art and music? Plus at over $120 a year I can easily buy all the msuic I listen to cheaper.,1,female,"Brisbane, Australia",2025-11-01,,
22,while listening song an ad will come and say enjoy the next 30 minutes of uninterrupted listening and after 1 song another ad will appear😡,1,male,"Jakarta, Indonesia",2022-06-13,,
23,Hate this app and it's greedy owners,1,male,"Guayaquil, Ecuador",2024-05-29,,
24,match the audio quality or make it better than apple music please,1,male,"Nadi, Fiji",2025-05-11,,
25,"I hate the new UI with the create button at the bottom. It is absolutely useless and inconvenient to me. It should be able to be hidden. Also, anything I play from the search tab is stuck on a loop, with the loop button constantly resetting itself.",1,male,"Suva, Fiji",2025-06-14,,
26,"For me this app is going to far, not only that it has ads but I can't even play the songs, and when I play on the song it said I need to pay for premium, like why do we need to pay for everything when we just wanna listen to music? in my opinion Spotify is the not the worst but also not the best",1,male,"Lyon, France",2021-04-08,,
27,the app is good before last update after its so bad,1,male,"Warsaw, Poland",2021-01-11,,
28,Can't play song too much,1,male,"Lyon, France",2021-09-15,,
29,Free frie king TAJ OPTIONAis,1,male,"Auckland, New Zealand",2025-05-14,,
30,nahi dena to mat do salo premium ke liye likhe kya hote ho,1,male,"Geneva, Switzerland",2021-05-03,,
31,I have tried too many times but I'm not unable to sign up Spotify app . please make it work. disappointing many times. please do check up once.,1,male,"Tripoli, Libya",2023-01-02,,
32,fully loaded with ads,1,female,"Port Moresby, Papua New Guinea",2025-10-12,,
33,i hate it when you need to pay to get to listen to more music,1,male,"Phoenix, United States",2023-08-02,,
34,"I have had Spotify Premium for several years, without any issues. I recently switched to Duo and the service has never worked correctly, when trying to listen on Amazon Echo devices. I was FINALLY able to find the ""contact us"" option and after 30 (pre scripted) emails, the issue still exists. I asked for a refund for the 2 months of having Duo & was told ""as a courtesy"", they could refund 1 MONTH!!! Are you kidding me! Much better streaming options available.....I do NOT recommend Spotify.",1,male,"Lima, Peru",2024-05-28,,
35,worst app only ads this is worst app for music,1,male,"Dubai, United Arab Emirates",2022-06-17,,
36,👎👎,1,male,"Salvador, Brazil",2024-05-18,,
37,ismein Kai bar hatane ke bekar aise,1,male,"Salvador, Brazil",2025-02-21,,
38,"worst please, yt music is much better than this",1,male,"Lisbon, Portugal",2020-12-03,,
