reviewId;review;score;gender;location;date
0;too many ads for my side seeing add in every 10-15min ..so disappointed 😔;1;male;Dakar, Senegal;2022-12-26
1;it doesn't let me go in my account;1;male;Quito, Ecuador;2024-07-20
2;ghatiya app;1;male;Warsaw, Poland;2020-10-30
8;stop changing the UI....... if it's not an improvement why apply the change?;1;male;Johannesburg, South Africa;2022-11-17
9;more than a song you can hear ads. so think;1;male;Philadelphia, United States;2023-08-13
12;everytime I am trying choose any song it is showing 'explore premium' why this is happening?? this is happening again and again;1;male;Stockholm, Sweden;2021-11-19
13;just don't download it is not spotify anymore it is addify;1;male;Auckland, New Zealand;2025-05-14
14;to many adds imma sue;1;male;Berlin, Germany;2020-12-20
17;Filled with gliches;1;male;Houston, United States;2023-09-19
18;it's a worst app to listen song. don't recommended this app;1;male;Berlin, Germany;2021-07-21
20;poor experience too much ads;1;male;Rio de Janeiro, Brazil;2024-12-19
22;while listening song an ad will come and say enjoy the next 30 minutes of uninterrupted listening and after 1 song another ad will appear😡;1;male;Jakarta, Indonesia;2022-06-13
24;match the audio quality or make it better than apple music please;1;male;Nadi, Fiji;2025-05-11
25;I hate the new UI with the create button at the bottom. It is absolutely useless and inconvenient to me. It should be able to be hidden. Also, anything I play from the search tab is stuck on a loop, with the loop button constantly resetting itself.;1;male;Suva, Fiji;2025-06-14
26;For me this app is going to far, not only that it has ads but I can't even play the songs, and when I play on the song it said I need to pay for premium, like why do we need to pay for everything when we just wanna listen to music? in my opinion Spotify is the not the worst but also not the best;1;male;Lyon, France;2021-04-08
27;the app is good before last update after its so bad;1;male;Warsaw, Poland;2021-01-11
29;Free frie king TAJ OPTIONAis;1;male;Auckland, New Zealand;2025-05-14
30;nahi dena to mat do salo premium ke liye likhe kya hote ho;1;male;Geneva, Switzerland;2021-05-03
32;fully loaded with ads;1;female;Port Moresby, Papua New Guinea;2025-10-12
33;i hate it when you need to pay to get to listen to more music;1;male;Phoenix, United States;2023-08-02
34;"I have had Spotify Premium for several years, without any issues. I recently switched to Duo and the service has never worked correctly, when trying to listen on Amazon Echo devices. I was FINALLY able to find the ""contact us"" option and after 30 (pre scripted) emails, the issue still exists. I asked for a refund for the 2 months of having Duo & was told ""as a courtesy"", they could refund 1 MONTH!!! Are you kidding me! Much better streaming options available.....I do NOT recommend Spotify.";1;male;Lima, Peru;2024-05-28
35;worst app only ads this is worst app for music;1;male;Dubai, United Arab Emirates;2022-06-17
36;👎👎;1;male;Salvador, Brazil;2024-05-18
40;I don't have any problem while using sp for free but it always show me ads and tell 30 minute of uninterrupted listening but then after one song I always get that irritated me more;1;female;Christchurch, New Zealand;2025-12-09
42;plans are expensive;1;male;Karachi, Pakistan;2022-04-12
43;bad;1;male;Montevideo, Uruguay;2024-11-28
46;because Hindi Ako nakakapag download;1;female;Gold Coast, Australia;2025-07-11
47;Very Worst . May Ads And Can't Change Nest Song . 🤦🏻 I Hate Lot This App Very Very Wost . 😡 All Are Use YouTube;1;male;Bangalore, India;2022-05-07
48;HORRIBLEEEE. You can't even play music without paying. don't get this app.;1;male;Kuala Lumpur, Malaysia;2022-04-26
50;so I cnt choose the song I want to listen now, unless I pay premium;1;male;Birmingham, United Kingdom;2020-12-05
51;too many advertisement 😞;1;male;Toronto, Canada;2024-05-03
54;Getting worst Day by day Too many ads, can't play a specific part of the song, can't play previous songs(the option has been disabled for non premium users), can't shuffle play the playlist, can't listen songs on loop, can't see lyrics for most songs(everything has been shifted to premium). Does anyone has a better alternative for this.;1;male;Rabat, Morocco;2023-05-15
55;This app sucks so don't bother downloading it. I can't play any songs without a premium because I reached the daily limit to what songs I can choose to listen to. They are clearly saying come back tomorrow so ya I ain't coming back to y'all;1;male;Valencia, Spain;2021-02-07
56;I can't see lyrics as I did without premium...;1;male;Boston, United States;2023-10-18
59;if you don't have subscription of this app then this app is like hell.;1;male;Fortaleza, Brazil;2024-06-12
60;why on earth would the average user want a create button where the library button was. what.;1;male;Lisbon, Portugal;2021-05-11
