reviewId,review,score,gender,location,date
gen_35480bdd,Here are the paraphrased comments:,2,male,"La Paz, Bolivia",2021-07-01
gen_40d8f78b,"I've been a Spotify user for ages, but lately it's been a total letdown - I'm tired of being bombarded with ads every 5 seconds after each song",2,male,"Warsaw, Poland",2018-03-01
gen_3abbe775,Can't get playlists to shuffle properly and the events feature is basically unusable due to constant crashes,2,male,"Rio de Janeiro, Brazil",2021-09-16
gen_65ee0a85,Six skips per day? You're really going to nickel and dime us now?,2,male,"Tripoli, Libya",2020-02-12
gen_8838291f,Spotify still can't seem to fix its notorious hanging issue - my phone freezes up every time I try to use it,2,female,"Wellington, New Zealand",2022-11-19
gen_3d618e35,"I'm so over Spotify's aggressive ad tactics, it's like they're trying to guilt trip me into paying for premium",2,female,"Sydney, Australia",2022-11-04
gen_296027fc,I've been a loyal user but the constant crashing is getting ridiculous - when will you guys get it together?,2,male,"Karachi, Pakistan",2019-04-01
gen_aa5a5c3a,It's like they're testing our patience with all these ads - I'm seriously considering switching services,2,male,"Shanghai, China",2018-11-28
gen_69894334,"Had to uninstall and reinstall Spotify multiple times but the problem persists, what kind of app are you running here?",2,male,"Los Angeles, United States",2020-09-21
gen_ac13e180,"The ad overload on this thing is insane, I feel like I'm being treated like a cash cow or something",2,female,"Port Moresby, Papua New Guinea",2022-12-19
gen_6d86aefe,Here are 10 paraphrased comments with the same sentiment:,2,male,"Phoenix, United States",2020-09-12
gen_ddfd1b14,I've been noticing a weird glitch where songs keep disappearing when I try to play them,2,male,"Rome, Italy",2018-02-18
gen_a0c5b7b8,"This ""6 skips a day"" limit is ridiculous and it's really limiting my experience",2,male,"Jacksonville, United States",2020-09-19
gen_a5469fb8,Why are you guys nickel-and-diming me with all these restrictions?,2,male,"Cali, Colombia",2021-08-07
gen_862f35e4,"It feels like every feature requires me to upgrade to premium, it's getting annoying",2,male,"Birmingham, United Kingdom",2018-03-04
gen_85b043f6,I'm about to crash out because this app is too demanding on my resources,2,male,"Delhi, India",2018-12-02
gen_e18c5b62,"Every time I try to play a song, it just vanishes into thin air!",2,male,"Windhoek, Namibia",2019-09-28
gen_32ab0e68,The skip limit is way too low and you guys should reconsider your policies,2,male,"Karachi, Pakistan",2019-04-16
gen_b4dc38e7,This app needs a serious overhaul before I consider paying for premium,2,male,"Helsinki, Finland",2018-11-12
gen_770f5ab4,I keep getting skipped past certain episodes and it's really frustrating,2,male,"Buenos Aires, Argentina",2021-06-27
gen_213fc2b1,Here are 10 paraphrased comments that keep the same sentiment:,2,male,"Windhoek, Namibia",2020-04-17
gen_4dd2dd85,"Crashes all the time, it's really frustrating",2,male,"Accra, Ghana",2020-05-11
gen_a05ed3a2,Not impressed with this app,2,male,"Bangalore, India",2019-09-10
gen_d3415d0a,The ad promises 30 minutes of uninterrupted music but what I get is a commercial every single song,2,male,"Toronto, Canada",2020-09-12
gen_628602f4,"The free version is okay, but the constant nagging to upgrade to premium is ridiculous and annoying like some other apps I've seen",2,male,"Barcelona, Spain",2018-09-19
gen_5ce8a2ee,"This app doesn't work properly at all, it's getting worse with each update",2,male,"Los Angeles, United States",2020-09-21
gen_1c7d2485,"The ads are relentless, not even YouTube or Instagram does this",2,male,"San Diego, United States",2020-09-19
gen_f3993461,It's really getting on my nerves how often it freezes up and crashes,2,male,"São Paulo, Brazil",2021-11-23
gen_8e840fb1,"Total waste of time, can't believe the developers let this happen",2,male,"Vienna, Austria",2018-08-25
gen_163614d9,"Music playback is interrupted every 2 seconds by another ad, completely annoying",2,male,"Cancun, Mexico",2020-10-05
gen_8db0e420,Here are 10 paraphrased comments with the same sentiment:,2,male,"Boston, United States",2020-10-25
gen_0e07ca0e,"Constantly frustrated by the app's inability to respect my playlist choices and preferences, especially when exercising",2,male,"Helsinki, Finland",2018-03-07
gen_52340cf2,"The app is extremely unreliable and stops working frequently, making it unusable",2,male,"Tijuana, Mexico",2020-08-05
gen_2fdf15b0,"I'm fed up with the constant interruptions from ads, especially since you can't even listen to a single song without one popping up",2,male,"San Jose, United States",2021-02-18
gen_c23a1a9c,"Your AI DJ has an annoying attitude problem, but I guess that's fixed now... still, it's ridiculous how it insists on showing the next song while playing",2,female,"Christchurch, New Zealand",2022-03-12
gen_1b60f13a,"The app is completely misrepresenting its free version, bombarding users with ads right from the start",2,male,"Asunción, Paraguay",2021-05-25
gen_9b99eb61,"Paid services are a joke when the ad-supported option can't even deliver 30 minutes of uninterrupted music, let alone what they promise",2,male,"Bangalore, India",2019-08-13
gen_617f7bab,"Frustrating experience, to say the least, especially since there's no way to skip those intrusive ads on every other song",2,male,"São Paulo, Brazil",2021-11-23
gen_1cf080d5,"The app's supposed ""smart shuffle"" feature is actually just annoying and forces you to stop mid-workout to switch songs",2,female,"Auckland, New Zealand",2022-06-07
gen_f05ec5ad,I'm at my wit's end with this app's inability to deliver a smooth listening experience without constant interruptions from ads,2,female,"Buenos Aires, Argentina",2022-02-22
gen_3a6c4f00,Here are 10 paraphrased comments that keep exactly the same sentiment:,2,male,"Seville, Spain",2018-10-19
gen_800f3060,"I'm fed up with being forced to listen to whatever the app decides, only able to change it by upgrading to premium. It's frustrating!",2,male,"Brasília, Brazil",2021-08-30
gen_0afe0da8,"The interface is getting on my nerves. When I'm trying to run or just relax, it freezes and jumps all over the place",2,male,"San Diego, United States",2020-09-19
gen_067eaadb,"My app keeps freezing on me, making it impossible to use",2,male,"Lisbon, Portugal",2018-07-25
gen_6b440c30,Their song suggestions are laughable - it's like they have no idea what I want to listen to,2,male,"Santiago, Chile",2021-10-13
gen_e7d2efd8,This app would be okay if it didn't have so many annoying features getting in the way of playing music. It's really basic stuff that they've gotten wrong,2,male,"Los Angeles, United States",2020-09-21
gen_b25e9460,"I'm starting to think the original iPod had a better interface for playing music, and that's saying something!",2,male,"São Paulo, Brazil",2021-12-07
gen_94a3270c,The default equalizers are completely unacceptable - it's like they're trying to make my ears bleed,2,female,"Queenstown, New Zealand",2022-08-30
gen_6f27558b,I tried to use the contact us feature but got a generic response that didn't even come close to understanding my issue,2,female,"Suva, Fiji",2022-05-16
gen_939126f1,"It's hard enough finding audiobooks in this app, let alone dealing with the constant mix-up of music and podcasts",2,male,"Caracas, Venezuela",2021-05-29
gen_b6745e14,Here are the paraphrased comments with the same sentiment:,2,male,"Santiago, Chile",2021-07-04
gen_5021246a,"I pay for premium but still get cut off in the middle of an audiobook, it's ridiculous",2,female,"Suva, Fiji",2022-05-19
gen_9332d218,"Spotify has been a disappointment so far - I love using Blend, but now it doesn't even show us our shared music anymore",2,female,"Nadi, Fiji",2022-08-20
gen_4ad17166,The app is driving me crazy - why can't it connect to my car's speakers and play music without interrupting from my phone?,2,male,"Ho Chi Minh City, Vietnam",2019-01-09
gen_e1ff17c1,"Your premium membership prices are out of touch with reality, please reconsider them for those on a tight budget",2,male,"Johannesburg, South Africa",2019-09-26
gen_d8376986,"I'm fed up with the app crashing every time I try to use New Episodes, or even start a podcast",2,male,"Caracas, Venezuela",2021-10-23
gen_206ef3b3,"The Spotify support website is an absolute disaster, fix this bug and make it functional already!",2,male,"Barcelona, Spain",2018-09-19
gen_7faaf0c6,"I've tried everything to resolve my issue with the app, but nothing works - it's still stuck on my phone",2,male,"Warsaw, Poland",2018-01-10
gen_1b863c2c,Why does your premium membership have to be so expensive? I can barely afford it as it is,2,male,"Jerusalem, Israel",2019-07-03
gen_a3f04baf,"Spotify used to be great, but now the app freezes every time I try to play a podcast and I'm done with it!",2,male,"Manchester, United Kingdom",2018-08-27
gen_5e044dec,Here are 10 paraphrased comments with the same sentiment:,2,male,"Los Angeles, United States",2021-03-11
gen_66d6f40f,* This app is completely useless and a complete waste of time!,2,male,"Marrakesh, Morocco",2019-10-07
