reviewId;review;score;gender;location;date
gen_e398648b;This shuffle mode feels restrictive, no option to turn it off! Too many ads everywhere! 😭;2;male;Madrid, Spain;2021-05-03
gen_e97e9fd8;"I can't believe they replaced my library button with this new one!  Ugh, I keep accidentally hitting ""Create"" and that's so frustrating! I just want to see my music library!";2;male;Buenos Aires, Argentina;2024-10-23
gen_f81bfa40;The app constantly freezes during playback. Seriously annoying!;2;female;Gold Coast, Australia;2025-09-13
gen_d5ccb3ad;"Why remove the familiar ""Your Library"" button? It was always there for a reason! 🙄";2;male;Alexandria, Egypt;2022-12-07
gen_e3b4ba8e;I feel like this change is a complete downgrade;2;male;Windhoek, Namibia;2023-06-18
gen_224964a6;Why would they make it harder to access what's important? 😩;2;male;Guangzhou, China;2022-01-14
gen_378a6aa0;Honestly, I wish I could just get back to the old version of the app;2;male;Salvador, Brazil;2024-10-12
gen_207fd3b8;This new interface feels clunky and confusing;2;male;Marrakesh, Morocco;2022-10-26
gen_7895ed1b;The constant ads are seriously starting to irritate me!;2;male;Wellington, New Zealand;2025-03-13
gen_354769dd;I miss the simplicity and ease of use of the old design;2;male;Kumasi, Ghana;2023-07-17
gen_bce4548b;I can't believe they changed something so fundamental in this way!;2;male;Shenzhen, China;2022-06-01
gen_290e35a3;Please bring back the classic layout, it worked perfectly fine before! 😩;2;male;Johannesburg, South Africa;2022-12-19
gen_7ccda4d5;Why did you make it so hard to access my library? I want to see it! 🤬;2;male;Jacksonville, United States;2020-09-19
gen_df6a3a22;The app keeps freezing when I try to play music. It’s very frustrating!;2;male;São Paulo, Brazil;2024-07-18
gen_5070a7aa;I don't understand why this design change is even necessary! 🤯;2;male;Medellín, Colombia;2024-09-17
gen_2e131825;Seriously disappointed with the changes. 😩😩;2;male;Monterrey, Mexico;2024-02-27
gen_1bf8a25f;Why not just add an option for us to customize shuffle mode? 😔;2;male;Santiago, Chile;2021-09-09
gen_9f2756cf;It would be great if we could access our library easily without all these new buttons!  🥺;2;male;Paris, France;2021-09-20
gen_7440e758;The app is becoming less intuitive, what's going on here? 🤔;2;male;Frankfurt, Germany;2018-07-01
gen_60e5d8cb;I miss the simplicity and ease of use of the old version. 😩;2;female;Queenstown, New Zealand;2025-10-05
gen_2b0d8c70;Why change things that weren't broken? I just want to listen to my music! 🎶;2;male;Gold Coast, Australia;2025-03-07
gen_5e04a3d9;This app is a lot harder to navigate than before. 😭;2;male;Dubai, United Arab Emirates;2022-01-08
gen_3edacb9e;The ads are too much, honestly! It feels like they’re constantly interrupting me;2;male;Oslo, Norway;2020-12-27
gen_3c52484c;I find it hard to get back to my library with these new changes. 😩;2;male;Bali, Indonesia;2022-01-08
